NAME                               VERSION                  TYPE         
alpine-baselayout                  3.7.0-r0                 apk           
alpine-baselayout-data             3.7.0-r0                 apk           
alpine-keys                        2.5-r0                   apk           
alpine-release                     3.22.2-r0                apk           
alsa-lib                           1.2.14-r0                apk           
anki                               25.02.7                  python        
anki                               25.02.7-r0               apk           
anki-pyc                           25.02.7-r0               apk           
anstream                           0.6.8                    rust-crate    
anstyle                            1.0.4                    rust-crate    
anstyle-parse                      0.2.3                    rust-crate    
anstyle-query                      1.0.2                    rust-crate    
anyhow                             1.0.79                   rust-crate    
aom-libs                           3.12.1-r0                apk           
apk-tools                          2.14.9-r3                apk           
aqt                                25.02.7                  python        
arg_enum_proc_macro                0.3.4                    rust-crate    
arrayvec                           0.7.4                    rust-crate    
at-spi2-core                       2.56.5-r0                apk           
at-spi2-core-libs                  2.56.5-r0                apk           
attrs                              25.3.0                   python        
av-metrics                         0.9.1                    rust-crate    
av1-grain                          0.2.3                    rust-crate    
avahi-libs                         0.8-r21                  apk           
bash                               5.2.37-r0                apk           
beautifulsoup4                     4.13.4                   python        
bitflags                           2.4.1                    rust-crate    
bitstream-io                       2.2.0                    rust-crate    
blinker                            1.9.0                    python        
bluez-libs                         5.82-r0                  apk           
brotli-libs                        1.1.0-r2                 apk           
busybox                            1.37.0-r19               apk           
busybox-binsh                      1.37.0-r19               apk           
c-ares                             1.34.5-r0                apk           
ca-certificates-bundle             20250911-r0              apk           
cairo                              1.18.4-r0                apk           
cairo-gobject                      1.18.4-r0                apk           
cdparanoia-libs                    10.2-r14                 apk           
certifi                            2025.4.26                python        
cfg-if                             1.0.0                    rust-crate    
charset-normalizer                 3.4.2                    python        
cjson                              1.7.18-r1                apk           
clap                               4.4.14                   rust-crate    
clap_builder                       4.4.14                   rust-crate    
clap_complete                      4.4.6                    rust-crate    
clap_derive                        4.4.7                    rust-crate    
clap_lex                           0.6.0                    rust-crate    
click                              8.1.8                    python        
colorchoice                        1.0.0                    rust-crate    
console                            0.15.8                   rust-crate    
crossbeam                          0.8.4                    rust-crate    
crossbeam-channel                  0.5.14                   rust-crate    
crossbeam-deque                    0.8.5                    rust-crate    
crossbeam-epoch                    0.9.18                   rust-crate    
crossbeam-queue                    0.3.11                   rust-crate    
crossbeam-utils                    0.8.19                   rust-crate    
cups-libs                          2.4.11-r0                apk           
curl                               8.14.1-r2                apk           
dbus                               1.16.2-r1                apk           
dbus-daemon-launch-helper          1.16.2-r1                apk           
dbus-libs                          1.16.2-r1                apk           
dbus-x11                           1.16.2-r1                apk           
decorator                          5.2.1                    python        
distro                             1.9.0                    python        
double-conversion                  3.3.1-r0                 apk           
duktape-libs                       2.7.0-r2                 apk           
either                             1.9.0                    rust-crate    
errno                              0.3.8                    rust-crate    
eudev-libs                         3.2.14-r5                apk           
fern                               0.6.2                    rust-crate    
ffmpeg-libavcodec                  6.1.2-r2                 apk           
ffmpeg-libavformat                 6.1.2-r2                 apk           
ffmpeg-libavutil                   6.1.2-r2                 apk           
ffmpeg-libswresample               6.1.2-r2                 apk           
ffmpeg-libswscale                  6.1.2-r2                 apk           
fftw-single-libs                   3.3.10-r6                apk           
file                               5.46-r2                  apk           
flask                              3.0.3                    python        
flask-cors                         4.0.0                    python        
font-noto                          2025.05.01-r0            apk           
font-noto-common                   2025.05.01-r0            apk           
font-noto-math                     2025.05.01-r0            apk           
font-noto-symbols                  2025.05.01-r0            apk           
fontconfig                         2.15.0-r3                apk           
freetype                           2.13.3-r0                apk           
fribidi                            1.0.16-r1                apk           
gdbm                               1.24-r0                  apk           
gdk-pixbuf                         2.42.12-r1               apk           
getrandom                          0.2.12                   rust-crate    
giflib                             5.2.2-r1                 apk           
glib                               2.84.4-r0                apk           
gmp                                6.3.0-r3                 apk           
gnutls                             3.8.8-r0                 apk           
gobject-introspection              1.84.0-r0                apk           
graphene                           1.10.8-r5                apk           
graphite2                          1.3.14-r6                apk           
gst-plugins-base                   1.26.3-r0                apk           
gstreamer                          1.26.3-r0                apk           
gstreamer-ptp-helper               1.26.3-r0                apk           
gtk+3.0                            3.24.50-r0               apk           
gtk-update-icon-cache              3.24.50-r0               apk           
harfbuzz                           11.2.1-r0                apk           
harfbuzz-subset                    11.2.1-r0                apk           
heck                               0.4.1                    rust-crate    
hicolor-icon-theme                 0.18-r0                  apk           
hwdata-pci                         0.395-r0                 apk           
icu-data-en                        76.1-r1                  apk           
icu-libs                           76.1-r1                  apk           
idna                               3.10                     python        
imath                              3.1.12-r0                apk           
interpolate_name                   0.2.4                    rust-crate    
itertools                          0.10.5                   rust-crate    
itertools                          0.12.0                   rust-crate    
itsdangerous                       2.2.0                    python        
ivf                                0.1.3                    rust-crate    
jinja2                             3.1.6                    python        
jsonschema                         4.23.0                   python        
jsonschema-specifications          2025.4.1                 python        
lab                                0.11.0                   rust-crate    
lame-libs                          3.100-r5                 apk           
lazy_static                        1.4.0                    rust-crate    
lcms2                              2.16-r0                  apk           
libSvtAv1Enc                       2.3.0-r0                 apk           
libapk2                            2.14.9-r3                apk           
libasyncns                         0.8-r4                   apk           
libatk-1.0                         2.56.5-r0                apk           
libatk-bridge-2.0                  2.56.5-r0                apk           
libb2                              0.98.1-r3                apk           
libblkid                           2.41-r9                  apk           
libbluray                          1.3.4-r1                 apk           
libbsd                             0.12.2-r0                apk           
libbz2                             1.0.8-r6                 apk           
libc                               0.2.155                  rust-crate    
libcap2                            2.76-r0                  apk           
libcrypto3                         3.5.4-r0                 apk           
libcurl                            8.14.1-r2                apk           
libdav1d                           1.5.1-r0                 apk           
libdeflate                         1.23-r0                  apk           
