NAME                                               VERSION                               TYPE                  
@antfu/install-pkg                                 1.1.0                                 npm                    
@antfu/utils                                       9.3.0                                 npm                    
@babel/runtime                                     7.29.7                                npm                    
@base-ui/react                                     1.5.0                                 npm                    
@base-ui/utils                                     0.2.9                                 npm                    
@braintree/sanitize-url                            7.1.1                                 npm                    
@bufbuild/protobuf                                 2.11.0                                npm                    
@chevrotain/cst-dts-gen                            11.0.3                                npm                    
@chevrotain/gast                                   11.0.3                                npm                    
@chevrotain/regexp-to-ast                          11.0.3                                npm                    
@chevrotain/types                                  11.0.3                                npm                    
@chevrotain/utils                                  11.0.3                                npm                    
@connectrpc/connect                                2.1.1                                 npm                    
@connectrpc/connect-node                           2.1.1                                 npm                    
@connectrpc/connect-web                            2.1.1                                 npm                    
@floating-ui/core                                  1.7.5                                 npm                    
@floating-ui/dom                                   1.7.6                                 npm                    
@floating-ui/react                                 0.27.16                               npm                    
@floating-ui/react-dom                             2.1.8                                 npm                    
@floating-ui/utils                                 0.2.11                                npm                    
@iconify/types                                     2.0.0                                 npm                    
@iconify/utils                                     3.0.2                                 npm                    
@isaacs/cliui                                      8.0.2                                 npm                    
@lexical/clipboard                                 0.43.0                                npm                    
@lexical/code-core                                 0.43.0                                npm                    
@lexical/devtools-core                             0.43.0                                npm                    
@lexical/dragon                                    0.43.0                                npm                    
@lexical/extension                                 0.43.0                                npm                    
@lexical/hashtag                                   0.43.0                                npm                    
@lexical/history                                   0.43.0                                npm                    
@lexical/html                                      0.43.0                                npm                    
@lexical/link                                      0.43.0                                npm                    
@lexical/list                                      0.43.0                                npm                    
@lexical/mark                                      0.43.0                                npm                    
@lexical/markdown                                  0.43.0                                npm                    
@lexical/offset                                    0.43.0                                npm                    
@lexical/overflow                                  0.43.0                                npm                    
@lexical/plain-text                                0.43.0                                npm                    
@lexical/react                                     0.43.0                                npm                    
@lexical/rich-text                                 0.43.0                                npm                    
@lexical/selection                                 0.43.0                                npm                    
@lexical/table                                     0.43.0                                npm                    
@lexical/text                                      0.43.0                                npm                    
@lexical/utils                                     0.43.0                                npm                    
@lexical/yjs                                       0.43.0                                npm                    
@mermaid-js/parser                                 0.6.3                                 npm                    
@microsoft/1ds-core-js                             3.2.13                                npm                    
@microsoft/1ds-post-js                             3.2.13                                npm                    
@microsoft/applicationinsights-core-js             2.8.15                                npm                    
@microsoft/applicationinsights-shims               2.0.2                                 npm                    
@microsoft/dynamicproto-js                         1.1.9                                 npm                    
@npmcli/agent                                      2.2.2                                 npm                    
@npmcli/fs                                         3.1.1                                 npm                    
@parcel/watcher                                    2.5.1                                 npm                    
@pkgjs/parseargs                                   0.11.0                                npm                    
@preact/compat                                     18.3.1                                npm   (+1 duplicate)   
@preact/signals-core                               1.14.1                                npm                    
@reduxjs/toolkit                                   2.9.0                                 npm                    
@reduxjs/toolkit-query                             1.0.0                                 npm                    
@reduxjs/toolkit-query-react                       1.0.0                                 npm                    
@reduxjs/toolkit-react                             1.0.0                                 npm                    
@standard-schema/spec                              1.0.0                                 npm                    
@standard-schema/utils                             0.3.0                                 npm                    
@tanstack/history                                  1.161.4                               npm                    
@tanstack/react-router                             1.166.7                               npm                    
@tanstack/react-store                              0.9.1                                 npm                    
@tanstack/react-virtual                            3.14.3                                npm                    
@tanstack/router-core                              1.166.7                               npm                    
@tanstack/store                                    0.9.1                                 npm                    
@tanstack/store                                    0.9.2                                 npm                    
@tanstack/virtual-core                             3.17.1                                npm                    
@tootallnate/once                                  3.0.0                                 npm                    
@types/color-name                                  1.1.1                                 npm                    
@types/d3                                          7.4.3                                 npm                    
@types/d3-array                                    3.2.2                                 npm                    
@types/d3-axis                                     3.0.6                                 npm                    
@types/d3-brush                                    3.0.6                                 npm                    
@types/d3-chord                                    3.0.6                                 npm                    
@types/d3-color                                    3.1.3                                 npm                    
@types/d3-contour                                  3.0.6                                 npm                    
@types/d3-delaunay                                 6.0.4                                 npm                    
@types/d3-dispatch                                 3.0.7                                 npm                    
@types/d3-drag                                     3.0.7                                 npm                    
@types/d3-dsv                                      3.0.7                                 npm                    
@types/d3-ease                                     3.0.2                                 npm                    
@types/d3-fetch                                    3.0.7                                 npm                    
@types/d3-force                                    3.0.10                                npm                    
@types/d3-format                                   3.0.4                                 npm                    
@types/d3-geo                                      3.1.0                                 npm                    
@types/d3-hierarchy                                3.1.7                                 npm                    
@types/d3-interpolate                              3.0.4                                 npm                    
@types/d3-path                                     3.1.1                                 npm                    
@types/d3-polygon                                  3.0.2                                 npm                    
@types/d3-quadtree                                 3.0.6                                 npm                    
@types/d3-random                                   3.0.3                                 npm                    
@types/d3-scale                                    4.0.9                                 npm                    
@types/d3-scale-chromatic                          3.1.0                                 npm                    
@types/d3-selection                                3.0.11                                npm                    
@types/d3-shape                                    3.1.7                                 npm                    
@types/d3-time                                     3.0.4                                 npm                    
@types/d3-time-format                              4.0.3                                 npm                    
@types/d3-timer                                    3.0.2                                 npm                    
@types/d3-transition                               3.0.9                                 npm                    
@types/d3-zoom                                     3.0.8                                 npm                    
@types/debug                                       4.1.9                                 npm                    
@types/estree                                      1.0.8                                 npm                    
@types/estree-jsx                                  1.0.5                                 npm                    
@types/geojson                                     7946.0.16                             npm                    
@types/hast                                        3.0.4                                 npm                    
@types/mdast                                       4.0.4                                 npm                    
@types/ms                                          0.7.32                                npm                    
@types/semver                                      7.5.8                                 npm                    
@types/trusted-types                               2.0.7                                 npm                    
@types/unist                                       2.0.11                                npm                    
@types/unist                                       3.0.3                                 npm                    
@types/use-sync-external-store                     0.0.6                                 npm                    
@ungap/structured-clone                            1.3.0                                 npm                    
@vscode/deviceid                                   0.1.1                                 npm                    
@vscode/iconv-lite-umd                             0.7.1                                 npm                    
@vscode/policy-watcher                             1.3.2                                 npm                    
@vscode/proxy-agent                                0.36.0                                npm                    
@vscode/ripgrep                                    1.15.14                               npm                    
@vscode/spdlog                                     0.15.2                                npm                    
@vscode/sqlite3                                    5.1.10-vscode                         npm                    
@vscode/sudo-prompt                                9.3.1                                 npm                    
@vscode/tree-sitter-wasm                           0.3.0                                 npm                    
@vscode/vscode-languagedetection                   1.0.21                                npm                    
@vue/reactivity                                    3.5.21                                npm                    
@vue/shared                                        3.5.21                                npm                    
@xterm/addon-clipboard                             0.2.0                                 npm                    
@xterm/addon-image                                 0.9.0                                 npm                    
@xterm/addon-ligatures                             0.10.0                                npm                    
@xterm/addon-progress                              0.2.0                                 npm                    
@xterm/addon-search                                0.16.0                                npm                    
@xterm/addon-serialize                             0.14.0                                npm                    
@xterm/addon-unicode11                             0.9.0                                 npm                    
@xterm/addon-webgl                                 0.19.0                                npm                    
