NAME                       VERSION                  TYPE         
acl-libs                   2.3.2-r1                 apk           
aligned                    0.4.2                    rust-crate    
aligned-vec                0.6.4                    rust-crate    
alpine-baselayout          3.6.8-r1                 apk           
alpine-baselayout-data     3.6.8-r1                 apk           
alpine-keys                2.5-r0                   apk           
alpine-release             3.22.0_alpha20250108-r0  apk           
alsa-lib                   1.2.14-r1                apk           
anstream                   0.6.19                   rust-crate    
anstyle                    1.0.11                   rust-crate    
anstyle-parse              0.2.7                    rust-crate    
anstyle-query              1.1.3                    rust-crate    
anyhow                     1.0.98                   rust-crate    
aom-libs                   3.13.1-r0                apk           
apk-tools                  2.14.7-r0                apk           
apsw                       3.50.4.0                 python        
arg_enum_proc_macro        0.3.4                    rust-crate    
arrayvec                   0.7.4                    rust-crate    
arrayvec                   0.7.6                    rust-crate    
as-slice                   0.2.1                    rust-crate    
at-spi2-core               2.58.1-r0                apk           
at-spi2-core-libs          2.58.1-r0                apk           
av-metrics                 0.9.1                    rust-crate    
av-scenechange             0.14.1                   rust-crate    
av1-grain                  0.2.4                    rust-crate    
avahi-libs                 0.8-r22                  apk           
bash                       5.3.3-r1                 apk           
beautifulsoup4             4.14.2                   python        
bitflags                   2.4.1                    rust-crate    
bitflags                   2.9.1                    rust-crate    
bitstream-io               4.2.0                    rust-crate    
bluez-libs                 5.84-r0                  apk           
brotli-libs                1.1.0-r2                 apk           
busybox                    1.37.0-r24               apk           
busybox-binsh              1.37.0-r24               apk           
bytemuck                   1.14.0                   rust-crate    
c-ares                     1.34.5-r0                apk           
ca-certificates-bundle     20241121-r1              apk           
cairo                      1.18.4-r0                apk           
cairo-gobject              1.18.4-r0                apk           
calibre                    8.7.0-r4                 apk           
calibre-pyc                8.7.0-r4                 apk           
cdparanoia-libs            10.2-r14                 apk           
cfg-if                     1.0.0                    rust-crate    
cfg-if                     1.0.1                    rust-crate    
chardet                    5.2.0                    python        
cjson                      1.7.18-r1                apk           
clap                       4.5.40                   rust-crate    
clap_builder               4.5.40                   rust-crate    
clap_complete              4.5.54                   rust-crate    
clap_derive                4.5.40                   rust-crate    
clap_lex                   0.7.5                    rust-crate    
colorchoice                1.0.4                    rust-crate    
console                    0.15.11                  rust-crate    
core2                      0.4.0                    rust-crate    
crossbeam                  0.8.4                    rust-crate    
