NAME                             VERSION                  TYPE         
abseil-cpp-raw-logging-internal  20250814.1-r0            apk           
abseil-cpp-strings               20250814.1-r0            apk           
abseil-cpp-strings-internal      20250814.1-r0            apk           
alpine-baselayout                3.7.1-r8                 apk           
alpine-baselayout-data           3.7.1-r8                 apk           
alpine-keys                      2.6-r0                   apk           
alpine-release                   3.23.2-r0                apk           
alsa-lib                         1.2.14-r2                apk           
alsa-plugins-pulse               1.2.12-r2                apk           
apk-tools                        3.0.3-r1                 apk           
arrayvec                         0.7.4                    rust-crate    
at-spi2-core                     2.58.3-r0                apk           
at-spi2-core-libs                2.58.3-r0                apk           
attrs                            25.3.0                   python        
autocommand                      2.2.2                    python        
automat                          24.8.1                   python        
avahi-libs                       0.8-r23                  apk           
backports-tarfile                1.2.0                    python        
bash                             5.3.3-r1                 apk           
bitflags                         2.4.1                    rust-crate    
boost1.84-python3                1.84.0-r3                apk           
breeze-icons                     6.19.0-r0                apk           
brotli-libs                      1.2.0-r0                 apk           
bubblewrap                       0.11.0-r2                apk           
busybox                          1.37.0-r30               apk           
busybox-binsh                    1.37.0-r30               apk           
bytemuck                         1.14.0                   rust-crate    
c-ares                           1.34.6-r0                apk           
ca-certificates-bundle           20251003-r0              apk           
cairo                            1.18.4-r0                apk           
cairo-gobject                    1.18.4-r0                apk           
cdparanoia-libs                  10.2-r14                 apk           
cffi                             1.17.1                   python        
cfg-if                           1.0.0                    rust-crate    
chardet                          5.2.0                    python        
constantly                       23.10.4                  python        
crossbeam-deque                  0.8.3                    rust-crate    
crossbeam-epoch                  0.9.15                   rust-crate    
crossbeam-utils                  0.8.16                   rust-crate    
cryptography                     46.0.3                   python        
cups-libs                        2.4.16-r0                apk           
curl                             8.17.0-r1                apk           
dbus                             1.16.2-r1                apk           
dbus-daemon-launch-helper        1.16.2-r1                apk           
dbus-libs                        1.16.2-r1                apk           
dbus-x11                         1.16.2-r1                apk           
deluge                           2.2.0                    python        
deluge                           2.2.0-r1                 apk           
deluge-gtk                       2.2.0-r1                 apk           
deluge-pyc                       2.2.0-r1                 apk           
distro                           1.9.0                    python        
double-conversion                3.3.1-r0                 apk           
duktape-libs                     2.7.0-r2                 apk           
either                           1.9.0                    rust-crate    
eudev-libs                       3.2.14-r6                apk           
fftw-single-libs                 3.3.10-r7                apk           
file                             5.46-r2                  apk           
font-noto                        2025.12.01-r0            apk           
font-noto-common                 2025.12.01-r0            apk           
font-noto-math                   2025.12.01-r0            apk           
font-noto-symbols                2025.12.01-r0            apk           
fontconfig                       2.17.1-r0                apk           
freetype                         2.14.1-r0                apk           
fribidi                          1.0.16-r2                apk           
fuse-common                      3.17.3-r1                apk           
fuse3                            3.17.3-r1                apk           
fuse3-libs                       3.17.3-r1                apk           
gdbm                             1.26-r0                  apk           
gdk-pixbuf                       2.44.4-r0                apk           
glib                             2.86.3-r0                apk           
gmp                              6.3.0-r4                 apk           
gnutls                           3.8.11-r0                apk           
gobject-introspection            1.86.0-r0                apk           
graphene                         1.10.8-r5                apk           
graphite2                        1.3.14-r6                apk           
