NAME                                                                  VERSION                               TYPE                         
Java(TM) Native Access                                                5                                     binary        (+1 duplicate)  
JavaEWAH                                                              1.2.3                                 java-archive                  
adduser                                                               3.152                                 deb                           
adwaita-icon-theme                                                    48.1-1                                deb                           
analysis                                                              9.9.1                                 java-archive                  
ant                                                                   1.10.15                               java-archive                  
ant-antlr                                                             1.10.15                               java-archive                  
ant-apache-bcel                                                       1.10.15                               java-archive                  
ant-apache-bsf                                                        1.10.15                               java-archive                  
ant-apache-log4j                                                      1.10.15                               java-archive                  
ant-apache-oro                                                        1.10.15                               java-archive                  
ant-apache-regexp                                                     1.10.15                               java-archive                  
ant-apache-resolver                                                   1.10.15                               java-archive                  
ant-apache-xalan2                                                     1.10.15                               java-archive                  
ant-bootstrap                                                         UNKNOWN                               java-archive                  
ant-commons-logging                                                   1.10.15                               java-archive                  
ant-commons-net                                                       1.10.15                               java-archive                  
ant-imageio                                                           1.10.15                               java-archive                  
ant-jakartamail                                                       1.10.15                               java-archive                  
ant-javamail                                                          1.10.15                               java-archive                  
ant-jdepend                                                           1.10.15                               java-archive                  
ant-jmf                                                               1.10.15                               java-archive                  
ant-jsch                                                              1.10.15                               java-archive                  
ant-junit                                                             1.10.15                               java-archive                  
ant-junit4                                                            1.10.15                               java-archive                  
ant-junitlauncher                                                     1.10.15                               java-archive                  
ant-launcher                                                          UNKNOWN                               java-archive                  
ant-netrexx                                                           1.10.15                               java-archive                  
ant-swing                                                             1.10.15                               java-archive                  
ant-testutil                                                          UNKNOWN                               java-archive                  
ant-xz                                                                1.10.15                               java-archive                  
antdebug                                                              UNKNOWN                               java-archive                  
antrunner                                                             UNKNOWN                               java-archive                  
antsupportlib                                                         UNKNOWN                               java-archive                  
aopalliance                                                           1.0                                   java-archive                  
api                                                                   1.1.2                                 java-archive                  
api                                                                   2.0.17                                java-archive                  
apt                                                                   3.0.3                                 deb                           
archetype-catalog                                                     3.2.1                                 java-archive                  
archetype-common                                                      3.2.1                                 java-archive                  
archetype-descriptor                                                  3.2.1                                 java-archive                  
asm                                                                   9.9                                   java-archive                  
asm                                                                   9.9.1                                 java-archive                  
at-spi2-common                                                        2.56.2-1+deb13u1                      deb                           
base-files                                                            13.8+deb13u4                          deb                           
base-passwd                                                           3.6.7                                 deb                           
bash                                                                  5.2.37-2+b8                           deb                           
batik-constants                                                       1.19                                  java-archive                  
batik-css                                                             1.19                                  java-archive                  
batik-i18n                                                            1.19                                  java-archive                  
batik-util                                                            1.19                                  java-archive                  
bcpg                                                                  1.83.0                                java-archive                  
bcpkix                                                                1.83.0                                java-archive                  
bcprov                                                                1.83.0                                java-archive                  
bcutil                                                                1.83.0                                java-archive                  
biz.aQute.bnd.util                                                    7.2.1                                 java-archive                  
biz.aQute.bndlib                                                      7.2.1                                 java-archive                  
bsdutils                                                              1:2.41-5                              deb                           
byte-buddy-agent                                                      1.18.5                                java-archive                  
ca-certificates                                                       20250419                              deb                           
ca-certificates-java                                                  20240118                              deb                           
ca-certificates-java                                                  UNKNOWN                               java-archive                  
classic                                                               1.5.32                                java-archive                  
cli                                                                   1.11.0                                java-archive                  
collate                                                               78.2                                  java-archive                  
com.jcraft.jsch_0.1.55.v20230916                                      1400                                  java-archive                  
com.sun.xml.bind                                                      2.3.3-SNAPSHOT                        java-archive                  
com.sun.xml.bind_2.3.3.v20221203                                      1659                                  java-archive                  
commonmark                                                            0.27.1                                java-archive                  
commonmark-ext-gfm-tables                                             0.27.1                                java-archive                  
commons                                                               9.9.1                                 java-archive                  
commons-cli                                                           1.11.0                                java-archive                  
commons-codec                                                         1.11                                  java-archive                  
commons-codec                                                         1.21.0                                java-archive                  
commons-collections4                                                  4.5.0                                 java-archive                  
commons-compress                                                      1.28.0                                java-archive                  
commons-io                                                            2.21.0                                java-archive                  
commons-lang3                                                         3.20.0                                java-archive                  
commons-lang3                                                         3.4                                   java-archive                  
commons-logging                                                       1.3.5                                 java-archive                  
commons-text                                                          1.15.0                                java-archive                  
core                                                                  1.5.32                                java-archive                  
core                                                                  2.3.6.v20201214                       java-archive                  
core                                                                  3.2.3                                 java-archive                  
core                                                                  78.2                                  java-archive                  
coreutils                                                             9.7-3                                 deb                           
curl                                                                  8.14.1-2+deb13u2                      deb                           
currdata                                                              78.2                                  java-archive                  
dash                                                                  0.5.12-12                             deb                           
dbus-bin                                                              1.16.2-2                              deb                           
dbus-daemon                                                           1.16.2-2                              deb                           
dbus-session-bus-common                                               1.16.2-2                              deb                           
dbus-x11                                                              1.16.2-2                              deb                           
dconf-gsettings-backend                                               0.40.0-5                              deb                           
dconf-service                                                         0.40.0-5                              deb                           
debconf                                                               1.5.91                                deb                           
debian-archive-keyring                                                2025.1                                deb                           
debianutils                                                           5.23.2                                deb                           
default-jdk                                                           2:1.21-76                             deb                           
default-jdk-headless                                                  2:1.21-76                             deb                           
default-jre                                                           2:1.21-76                             deb                           
default-jre-headless                                                  2:1.21-76                             deb                           
desktop-file-utils                                                    0.28-1                                deb                           
diffutils                                                             1:3.10-4                              deb                           
director-ant                                                          UNKNOWN                               java-archive                  
dpkg                                                                  1.22.22                               deb                           
engine                                                                2.10.0                                java-archive                  
error_prone_annotations                                               2.41.0                                java-archive                  
ext-gfm-tables                                                        0.27.1                                java-archive                  
failureaccess                                                         1.0.1                                 java-archive                  
failureaccess                                                         1.0.3                                 java-archive                  
findutils                                                             4.10.0-3                              deb                           
fluent-hc                                                             4.5.14                                java-archive                  
fontconfig                                                            2.15.0-2.3                            deb                           
fontconfig-config                                                     2.15.0-2.3                            deb                           
fonts-noto                                                            20201225-2                            deb                           
fonts-noto-core                                                       20201225-2                            deb                           
fonts-noto-mono                                                       20201225-2                            deb                           
gcc-14-base                                                           14.2.0-19                             deb                           
git                                                                   1:2.47.3-0+deb13u1                    deb                           
git-man                                                               1:2.47.3-0+deb13u1                    deb                           
grep                                                                  3.11-4                                deb                           
gson                                                                  2.10.1                                java-archive                  
gson                                                                  2.13.2                                java-archive  (+1 duplicate)  
gtk-update-icon-cache                                                 4.18.6+ds-2                           deb                           
guava                                                                 32.0.1-jre                            java-archive                  
guava                                                                 33.5.0-jre                            java-archive                  
guice                                                                 5.1.0-classes                         java-archive                  
gzip                                                                  1.13-1                                deb                           
hamcrest                                                              3.0.0                                 java-archive                  
helpbase-ant                                                          UNKNOWN                               java-archive                  
hicolor-icon-theme                                                    0.18-2                                deb                           
hostname                                                              3.25                                  deb                           
http                                                                  12.1.6                                java-archive                  
httpclient                                                            4.5.14                                java-archive  (+1 duplicate)  
httpclient-cache                                                      4.5.14                                java-archive                  
httpclient-osgi                                                       4.5.14                                java-archive                  
httpclient5                                                           5.6                                   java-archive                  
httpcore                                                              4.4.16                                java-archive  (+1 duplicate)  
httpcore-nio                                                          4.4.16                                java-archive                  
httpcore-osgi                                                         4.4.16                                java-archive                  
httpcore5                                                             5.4.1                                 java-archive                  
httpcore5-h2                                                          5.4.1                                 java-archive                  
httpmime                                                              4.5.14                                java-archive                  
icu                                                                   78.2.0                                java-archive                  
icu4j                                                                 78.2                                  java-archive                  
init-system-helpers                                                   1.69~deb13u1                          deb                           
io                                                                    12.1.6                                java-archive                  
iso-codes                                                             4.18.0-1                              deb                           
jacocoagent                                                           0.8.14                                java-archive                  
jakarta.annotation-api                                                1.3.5                                 java-archive                  
jakarta.annotation-api                                                2.1.1                                 java-archive                  
jakarta.inject-api                                                    1.0.5                                 java-archive                  
jakarta.inject-api                                                    2.0.1                                 java-archive                  
jakarta.xml.bind-api                                                  2.3.3                                 java-archive                  
jansi                                                                 2.4.2                                 java-archive                  
jarprocessor-ant                                                      UNKNOWN                               java-archive                  
java-common                                                           0.76                                  deb                           
javaagent-shaded                                                      UNKNOWN                               java-archive                  
javax.activation                                                      1.2.2-SNAPSHOT                        java-archive                  
javax.activation_1.2.2.v20221203                                      1659                                  java-archive                  
jaxen                                                                 2.0.0                                 java-archive                  
jcl-over-slf4j                                                        1.7.36                                java-archive                  
jcl-over-slf4j                                                        2.0.17                                java-archive                  
jcodings                                                              1.0.64                                java-archive                  
jdimodel                                                              UNKNOWN                               java-archive                  
jdtCompilerAdapter                                                    UNKNOWN                               java-archive                  
jetty-ee8-nested                                                      12.1.6                                java-archive                  
jetty-ee8-security                                                    12.1.6                                java-archive                  
jetty-ee8-servlet                                                     12.1.6                                java-archive                  
jetty-http                                                            12.1.6                                java-archive                  
jetty-io                                                              12.1.6                                java-archive                  
jetty-security                                                        12.1.6                                java-archive                  
jetty-server                                                          12.1.6                                java-archive                  
jetty-servlet-api                                                     4.0.9                                 java-archive                  
jetty-session                                                         12.1.6                                java-archive                  
jetty-util                                                            12.1.6                                java-archive                  
jnidispatch                                                           UNKNOWN                               binary                        
joni                                                                  2.2.7                                 java-archive                  
jrt-fs                                                                21.0.10                               java-archive  (+1 duplicate)  
jsch                                                                  0.1.55                                java-archive                  
jsoup                                                                 1.14.2                                java-archive                  
jsoup                                                                 1.22.1                                java-archive                  
jsr305                                                                3.0.2                                 java-archive                  
jsvg                                                                  2.0.0                                 java-archive                  
junit-jupiter-api                                                     5.14.3                                java-archive                  
junit-jupiter-api                                                     6.0.3                                 java-archive                  
junit-jupiter-engine                                                  5.14.3                                java-archive                  
junit-jupiter-engine                                                  6.0.3                                 java-archive                  
junit-jupiter-migrationsupport                                        5.14.3                                java-archive                  
junit-jupiter-params                                                  5.14.3                                java-archive                  
junit-jupiter-params                                                  6.0.3                                 java-archive                  
junit-platform-commons                                                1.14.3                                java-archive                  
junit-platform-commons                                                6.0.3                                 java-archive                  
junit-platform-engine                                                 1.14.3                                java-archive                  
junit-platform-engine                                                 6.0.3                                 java-archive                  
junit-platform-launcher                                               1.14.3                                java-archive                  
junit-platform-launcher                                               6.0.3                                 java-archive                  
junit-platform-runner                                                 1.14.3                                java-archive                  
junit-platform-suite-api                                              1.14.3                                java-archive                  
junit-platform-suite-api                                              6.0.3                                 java-archive                  
junit-platform-suite-commons                                          1.14.3                                java-archive                  
junit-platform-suite-engine                                           1.14.3                                java-archive                  
junit-platform-suite-engine                                           6.0.3                                 java-archive                  
junit-vintage-engine                                                  5.14.3                                java-archive                  
keyboard-configuration                                                1.242~deb13u1                         deb                           
lang3                                                                 3.20.0                                java-archive                  
langdata                                                              78.2                                  java-archive                  
launchingsupport                                                      UNKNOWN                               java-archive                  
lemminx-maven                                                         0.12.0                                java-archive                  
libabsl20240722                                                       20240722.0-4                          deb                           
libacl1                                                               2.3.2-2+b1                            deb                           
libaom3                                                               3.12.1-1                              deb                           
libapparmor1                                                          4.1.0-1                               deb                           
libapt-pkg7.0                                                         3.0.3                                 deb                           
libasound2-data                                                       1.2.14-1                              deb                           
libasound2-plugins                                                    1.2.12-2+b1                           deb                           
libasound2t64                                                         1.2.14-1                              deb                           
libasyncns0                                                           0.8-6+b5                              deb                           
libatk-bridge2.0-0t64                                                 2.56.2-1+deb13u1                      deb                           
libatk1.0-0t64                                                        2.56.2-1+deb13u1                      deb                           
libatomic1                                                            14.2.0-19                             deb                           
libatspi2.0-0t64                                                      2.56.2-1+deb13u1                      deb                           
libattr1                                                              1:2.5.2-3                             deb                           
libaudit-common                                                       1:4.0.2-2                             deb                           
libaudit1                                                             1:4.0.2-2+b2                          deb                           
libavahi-client3                                                      0.8-16                                deb                           
libavahi-common-data                                                  0.8-16                                deb                           
libavahi-common3                                                      0.8-16                                deb                           
libavcodec61                                                          7:7.1.3-0+deb13u1                     deb                           
libavutil59                                                           7:7.1.3-0+deb13u1                     deb                           
libblkid1                                                             2.41-5                                deb                           
libbrotli1                                                            1.1.0-2+b7                            deb                           
libbsd0                                                               0.12.2-2                              deb                           
libbz2-1.0                                                            1.0.8-6                               deb                           
libc-bin                                                              2.41-12+deb13u2                       deb                           
libc-l10n                                                             2.41-12+deb13u2                       deb                           
libc6                                                                 2.41-12+deb13u2                       deb                           
libcairo-gobject2                                                     1.18.4-1+b1                           deb                           
libcairo2                                                             1.18.4-1+b1                           deb                           
libcap-ng0                                                            0.8.5-4+b1                            deb                           
libcap2                                                               1:2.75-10+b8                          deb                           
libcap2-bin                                                           1:2.75-10+b8                          deb                           
libcbor0.10                                                           0.10.2-2                              deb                           
libcloudproviders0                                                    0.3.6-2                               deb                           
libcodec2-1.2                                                         1.2.0-3                               deb                           
libcolord2                                                            1.4.7-3                               deb                           
libcom-err2                                                           1.47.2-3+b10                          deb                           
libcrypt1                                                             1:4.4.38-1                            deb                           
libcups2t64                                                           2.4.10-3+deb13u2                      deb                           
libcurl3t64-gnutls                                                    8.14.1-2+deb13u2                      deb                           
libcurl4t64                                                           8.14.1-2+deb13u2                      deb                           
libdatrie1                                                            0.2.13-3+b1                           deb                           
libdav1d7                                                             1.5.1-1                               deb                           
libdb5.3t64                                                           5.3.28+dfsg2-9                        deb                           
libdbus-1-3                                                           1.16.2-2                              deb                           
libdconf1                                                             0.40.0-5                              deb                           
libdebconfclient0                                                     0.280                                 deb                           
libdeflate0                                                           1.23-2                                deb                           
libdrm-amdgpu1                                                        2.4.124-2                             deb                           
libdrm-common                                                         2.4.124-2                             deb                           
libdrm-intel1                                                         2.4.124-2                             deb                           
libdrm-radeon1                                                        2.4.124-2                             deb                           
libdrm2                                                               2.4.124-2                             deb                           
libedit2                                                              3.1-20250104-1                        deb                           
libegl-mesa0                                                          25.0.7-2                              deb                           
libegl1                                                               1.7.0-1+b2                            deb                           
libelf1t64                                                            0.192-4                               deb                           
