NAME                                VERSION                               TYPE     
adduser                             3.152                                 deb       
apt                                 3.0.3                                 deb       
attrs                               25.3.0                                python    
base-files                          13.8+deb13u4                          deb       
base-passwd                         3.6.7                                 deb       
bash                                5.2.37-2+b8                           deb       
blt                                 2.5.3+dfsg-8                          deb       
brotli                              1.1.0                                 python    
bsdutils                            1:2.41-5                              deb       
ca-certificates                     20250419                              deb       
contourpy                           1.3.1                                 python    
coreutils                           9.7-3                                 deb       
curl                                8.14.1-2+deb13u2                      deb       
cycler                              0.12.1                                python    
dash                                0.5.12-12                             deb       
dbus-bin                            1.16.2-2                              deb       
dbus-daemon                         1.16.2-2                              deb       
dbus-session-bus-common             1.16.2-2                              deb       
dbus-x11                            1.16.2-2                              deb       
debconf                             1.5.91                                deb       
debian-archive-keyring              2025.1                                deb       
debianutils                         5.23.2                                deb       
decorator                           5.2.1                                 python    
desktop-file-utils                  0.28-1                                deb       
diffutils                           1:3.10-4                              deb       
dpkg                                1.22.22                               deb       
findutils                           4.10.0-3                              deb       
fontconfig                          2.15.0-2.3                            deb       
fontconfig-config                   2.15.0-2.3                            deb       
fonts-dejavu-core                   2.37-8                                deb       
fonts-dejavu-mono                   2.37-8                                deb       
fonts-lyx                           2.4.3-1                               deb       
fonts-noto                          20201225-2                            deb       
fonts-noto-core                     20201225-2                            deb       
fonts-noto-mono                     20201225-2                            deb       
fonts-osifont                       0.1.20230322+ds-4                     deb       
fonttools                           4.57.0                                python    
freecad                             1.0.0+dfsg-8                          deb       
freecad-common                      1.0.0+dfsg-8                          deb       
freecad-python3                     1.0.0+dfsg-8                          deb       
fs                                  2.4.16                                python    
gcc-14-base                         14.2.0-19                             deb       
grep                                3.11-4                                deb       
gzip                                1.13-1                                deb       
hostname                            3.25                                  deb       
ibverbs-providers                   56.1-1                                deb       
init-system-helpers                 1.69~deb13u1                          deb       
iso-codes                           4.18.0-1                              deb       
keyboard-configuration              1.242~deb13u1                         deb       
kiwisolver                          1.4.7                                 python    
libabsl20240722                     20240722.0-4                          deb       
libacl1                             2.3.2-2+b1                            deb       
libaec0                             1.1.3-1+b1                            deb       
libamd-comgr2                       6.0+git20231212.4510c28+dfsg-3+b2     deb       
libamdhip64-5                       5.7.1-6+deb13u1                       deb       
libaom3                             3.12.1-1                              deb       
libapparmor1                        4.1.0-1                               deb       
libapt-pkg7.0                       3.0.3                                 deb       
libasound2-data                     1.2.14-1                              deb       
libasound2-plugins                  1.2.12-2+b1                           deb       
libasound2t64                       1.2.14-1                              deb       
libasyncns0                         0.8-6+b5                              deb       
libatomic1                          14.2.0-19                             deb       
libattr1                            1:2.5.2-3                             deb       
libaudit-common                     1:4.0.2-2                             deb       
libaudit1                           1:4.0.2-2+b2                          deb       
libavahi-client3                    0.8-16                                deb       
libavahi-common-data                0.8-16                                deb       
libavahi-common3                    0.8-16                                deb       
libavcodec61                        7:7.1.3-0+deb13u1                     deb       
libavutil59                         7:7.1.3-0+deb13u1                     deb       
libblas3                            3.12.1-6                              deb       
libblkid1                           2.41-5                                deb       
libboost-filesystem1.83.0           1.83.0-4.2                            deb       
libboost-program-options1.83.0      1.83.0-4.2                            deb       
libboost-thread1.83.0               1.83.0-4.2                            deb       
libbrotli1                          1.1.0-2+b7                            deb       
libbsd0                             0.12.2-2                              deb       
libbz2-1.0                          1.0.8-6                               deb       
libc-bin                            2.41-12+deb13u2                       deb       
libc-l10n                           2.41-12+deb13u2                       deb       
libc6                               2.41-12+deb13u2                       deb       
libcairo-gobject2                   1.18.4-1+b1                           deb       
libcairo2                           1.18.4-1+b1                           deb       
libcap-ng0                          0.8.5-4+b1                            deb       
libcap2                             1:2.75-10+b8                          deb       
libcap2-bin                         1:2.75-10+b8                          deb       
libclang1-19                        1:19.1.7-3+b1                         deb       
libcodec2-1.2                       1.2.0-3                               deb       
libcoin80t64                        4.0.3+ds-2                            deb       
libcom-err2                         1.47.2-3+b10                          deb       
libcrypt1                           1:4.4.38-1                            deb       
libcups2t64                         2.4.10-3+deb13u2                      deb       
libcurl3t64-gnutls                  8.14.1-2+deb13u2                      deb       
libcurl4t64                         8.14.1-2+deb13u2                      deb       
libdatrie1                          0.2.13-3+b1                           deb       
libdav1d7                           1.5.1-1                               deb       
libdb5.3t64                         5.3.28+dfsg2-9                        deb       
libdbus-1-3                         1.16.2-2                              deb       
libdebconfclient0                   0.280                                 deb       
libdeflate0                         1.23-2                                deb       
libdouble-conversion3               3.3.1-1                               deb       
libdrm-amdgpu1                      2.4.124-2                             deb       
libdrm-common                       2.4.124-2                             deb       
libdrm-intel1                       2.4.124-2                             deb       
libdrm-radeon1                      2.4.124-2                             deb       
libdrm2                             2.4.124-2                             deb       
libedit2                            3.1-20250104-1                        deb       
libegl-mesa0                        25.0.7-2                              deb       
libegl1                             1.7.0-1+b2                            deb       
libelf1t64                          0.192-4                               deb       
libepoxy0                           1.5.10-2                              deb       
libevdev2                           1.13.4+dfsg-1                         deb       
libevent-2.1-7t64                   2.1.12-stable-10+b1                   deb       
libevent-core-2.1-7t64              2.1.12-stable-10+b1                   deb       
libevent-pthreads-2.1-7t64          2.1.12-stable-10+b1                   deb       
libexpat1                           2.7.1-2                               deb       
libfabric1                          2.1.0-1.1                             deb       
libffi8                             3.4.8-2                               deb       
libfftw3-single3                    3.3.10-2+b1                           deb       
libflac14                           1.5.0+ds-2                            deb       
libfmt10                            10.1.1+ds1-4                          deb       
libfontconfig1                      2.15.0-2.3                            deb       
libfontenc1                         1:1.1.8-1+b2                          deb       
libfreecad-python3                  1.0.0+dfsg-8                          deb       
libfreeimage3                       3.18.0+ds2-11                         deb       
libfreetype6                        2.13.3+dfsg-1+deb13u1                 deb       
libfribidi0                         1.0.16-1                              deb       
libfuse3-4                          3.17.2-3                              deb       
libgbm1                             25.0.7-2                              deb       
libgcc-s1                           14.2.0-19                             deb       
libgcrypt20                         1.11.0-7                              deb       
libgdk-pixbuf-2.0-0                 2.42.12+dfsg-4+deb13u1                deb       
libgdk-pixbuf2.0-common             2.42.12+dfsg-4+deb13u1                deb       
libgfortran5                        14.2.0-19                             deb       
libgl1                              1.7.0-1+b2                            deb       
libgl1-mesa-dri                     25.0.7-2                              deb       
libgl2ps1.4                         1.4.2+dfsg1-2                         deb       
libglew2.2                          2.2.0-4+b2                            deb       
libglib2.0-0t64                     2.84.4-3~deb13u2                      deb       
libglvnd0                           1.7.0-1+b2                            deb       
libglx-mesa0                        25.0.7-2                              deb       
libglx0                             1.7.0-1+b2                            deb       
libgmp10                            2:6.3.0+dfsg-3                        deb       
libgnutls30t64                      3.8.9-3+deb13u2                       deb       
libgomp1                            14.2.0-19                             deb       
libgpg-error0                       1.51-4                                deb       
libgraphite2-3                      1.3.14-2+b1                           deb       
libgsm1                             1.0.22-1+b2                           deb       
libgssapi-krb5-2                    1.21.3-5                              deb       
libgstreamer-plugins-base1.0-0      1.26.2-1+deb13u1                      deb       
libgstreamer1.0-0                   1.26.2-2                              deb       
libgudev-1.0-0                      238-6                                 deb       
libharfbuzz-subset0                 10.2.0-1+b1                           deb       
libharfbuzz0b                       10.2.0-1+b1                           deb       
libhdf5-310                         1.14.5+repack-3                       deb       
libhdf5-hl-310                      1.14.5+repack-3                       deb       
libhdf5-openmpi-310                 1.14.5+repack-3                       deb       
libhogweed6t64                      3.10.1-1                              deb       
libhsa-runtime64-1                  6.1.2-3                               deb       
libhsakmt1                          6.2.4+ds-1                            deb       
libhwloc-plugins                    2.12.0-4                              deb       
libhwloc15                          2.12.0-4                              deb       
libhwy1t64                          1.2.0-2+b2                            deb       
libibmad5                           56.1-1                                deb       
libibumad3                          56.1-1                                deb       
libibverbs1                         56.1-1                                deb       
libice6                             2:1.1.1-1                             deb       
libicu76                            76.1-4                                deb       
libidn2-0                           2.3.8-2                               deb       
libimagequant0                      2.18.0-1+b2                           deb       
libimath-3-1-29t64                  3.1.12-1+b3                           deb       
libinput-bin                        1.28.1-1                              deb       
libinput10                          1.28.1-1                              deb       
libjack-jackd2-0                    1.9.22~dfsg-4                         deb       
libjbig0                            2.1-6.1+b2                            deb       
libjpeg62-turbo                     1:2.1.5-4                             deb       
libjs-jquery                        3.6.1+dfsg+~3.5.14-1                  deb       
libjs-jquery-ui                     1.13.2+dfsg-1                         deb       
libjsoncpp26                        1.9.6-3                               deb       
libjxl0.11                          0.11.1-4                              deb       
libjxr0t64                          1.2~git20170615.f752187-5.3           deb       
libk5crypto3                        1.21.3-5                              deb       
libkeyutils1                        1.6.3-6                               deb       
libkmod2                            34.2-2                                deb       
libkrb5-3                           1.21.3-5                              deb       
libkrb5support0                     1.21.3-5                              deb       
liblapack3                          3.12.1-6                              deb       
liblastlog2-2                       2.41-5                                deb       
liblcms2-2                          2.16-2                                deb       
