NAME                            VERSION                  TYPE                         
HelloWorld                      UNKNOWN                  java-archive                  
Highlight                       UNKNOWN                  java-archive                  
MemoryUsage                     UNKNOWN                  java-archive                  
ScriptFramework                 UNKNOWN                  java-archive                  
ScriptProviderForJava           UNKNOWN                  java-archive                  
ScriptProviderForJavaScript     UNKNOWN                  java-archive                  
US_export_policy                UNKNOWN                  java-archive  (+1 duplicate)  
alpine-baselayout               3.7.1-r8                 apk                           
alpine-baselayout-data          3.7.1-r8                 apk                           
alpine-keys                     2.6-r0                   apk                           
alpine-release                  3.23.3-r0                apk                           
alsa-lib                        1.2.14-r2                apk                           
alsa-plugins-pulse              1.2.12-r2                apk                           
aom-libs                        3.13.1-r1                apk                           
apk-tools                       3.0.3-r1                 apk                           
argon2-libs                     20190702-r5              apk                           
at-spi2-core                    2.58.3-r0                apk                           
at-spi2-core-libs               2.58.3-r0                apk                           
avahi-libs                      0.8-r23                  apk                           
bash                            5.3.3-r1                 apk                           
boost1.84-iostreams             1.84.0-r3                apk                           
boost1.84-locale                1.84.0-r3                apk                           
boost1.84-program_options       1.84.0-r3                apk                           
boost1.84-thread                1.84.0-r3                apk                           
box2d                           2.4.1-r2                 apk                           
brotli-libs                     1.2.0-r0                 apk                           
busybox                         1.37.0-r30               apk                           
busybox-binsh                   1.37.0-r30               apk                           
c-ares                          1.34.6-r0                apk                           
ca-certificates                 20251003-r0              apk                           
ca-certificates-bundle          20251003-r0              apk                           
cairo                           1.18.4-r0                apk                           
cairo-gobject                   1.18.4-r0                apk                           
cdparanoia-libs                 10.2-r14                 apk                           
charsets                        UNKNOWN                  java-archive                  
cldrdata                        UNKNOWN                  java-archive                  
clucene                         2.3.3.4-r22              apk                           
clucene-contribs                2.3.3.4-r22              apk                           
commonwizards                   UNKNOWN                  java-archive                  
cups-libs                       2.4.16-r0                apk                           
curl                            8.17.0-r1                apk                           
dbus                            1.16.2-r1                apk                           
dbus-daemon-launch-helper       1.16.2-r1                apk                           
dbus-libs                       1.16.2-r1                apk                           
dbus-x11                        1.16.2-r1                apk                           
directfb                        1.7.7-r8                 apk                           
dnsns                           UNKNOWN                  java-archive                  
double-conversion               3.3.1-r0                 apk                           
duktape-libs                    2.7.0-r2                 apk                           
encodings                       1.1.0-r0                 apk                           
eudev-libs                      3.2.14-r6                apk                           
faac                            1.31.1-r0                apk                           
fdk-aac                         2.0.2-r4                 apk                           
fftw-single-libs                3.3.10-r7                apk                           
file                            5.46-r2                  apk                           
flite                           2.2-r5                   apk                           
flow-engine                     UNKNOWN                  java-archive                  
flute                           1.1.6                    java-archive                  
font-dejavu                     2.37-r6                  apk                           
font-noto                       2025.12.01-r0            apk                           
font-noto-common                2025.12.01-r0            apk                           
font-noto-math                  2025.12.01-r0            apk                           
font-noto-symbols               2025.12.01-r0            apk                           
fontconfig                      2.17.1-r0                apk                           
form                            UNKNOWN                  java-archive                  
freetype                        2.14.1-r0                apk                           
fribidi                         1.0.16-r2                apk                           
gdbm                            1.26-r0                  apk                           
gdk-pixbuf                      2.44.4-r0                apk                           
giflib                          5.2.2-r1                 apk                           
glib                            2.86.3-r0                apk                           
gmp                             6.3.0-r4                 apk                           
gnupg-dirmngr                   2.4.9-r0                 apk                           
gnupg-gpgconf                   2.4.9-r0                 apk                           
gnupg-keyboxd                   2.4.9-r0                 apk                           
gnutls                          3.8.11-r0                apk                           
gobject-introspection           1.86.0-r0                apk                           
gpg                             2.4.9-r0                 apk                           
gpg-agent                       2.4.9-r0                 apk                           
gpgme                           1.24.2-r3                apk                           
gpgmepp                         1.24.2-r3                apk                           
gpgsm                           2.4.9-r0                 apk                           
graphene                        1.10.8-r5                apk                           
graphite2                       1.3.14-r6                apk                           
gsm                             1.0.23-r0                apk                           
gst-plugins-bad                 1.26.9-r0                apk                           
gst-plugins-base                1.26.9-r0                apk                           
gstreamer                       1.26.9-r0                apk                           
gstreamer-ptp-helper            1.26.9-r0                apk                           
gtk+3.0                         3.24.51-r0               apk                           
gtk-update-icon-cache           3.24.51-r0               apk                           
gtk4.0                          4.20.3-r0                apk                           
harfbuzz                        12.2.0-r0                apk                           
harfbuzz-icu                    12.2.0-r0                apk                           
harfbuzz-subset                 12.2.0-r0                apk                           
hicolor-icon-theme              0.18-r0                  apk                           
hsqldb                          build-25.8.1.1           java-archive                  
hwdata-pci                      0.401-r0                 apk                           
hyphen                          2.8.8-r3                 apk                           
icu-data-en                     76.1-r1                  apk                           
icu-libs                        76.1-r1                  apk                           
imath                           3.1.12-r0                apk                           
iso-codes                       4.19.0-r0                apk                           
jaccess                         UNKNOWN                  java-archive                  
java-cacerts                    1.1-r0                   apk                           
java-common                     1.0-r1                   apk                           
java_uno                        UNKNOWN                  java-archive                  
java_websocket                  UNKNOWN                  java-archive                  
jce                             1.8.0_452                java-archive                  
jfr                             1.8.0_452                java-archive                  
js                              UNKNOWN                  java-archive                  
jsse                            1.8.0_452                java-archive                  
juh                             UNKNOWN                  java-archive                  
