NAME                       VERSION                  TYPE         
alpine-baselayout          3.6.8-r1                 apk           
alpine-baselayout-data     3.6.8-r1                 apk           
alpine-keys                2.5-r0                   apk           
alpine-release             3.22.0_alpha20250108-r0  apk           
alsa-lib                   1.2.13-r0                apk           
anstream                   0.6.5                    rust-crate    
anstyle                    1.0.4                    rust-crate    
anstyle-parse              0.2.3                    rust-crate    
anstyle-query              1.0.2                    rust-crate    
anyhow                     1.0.79                   rust-crate    
aom-libs                   3.11.0-r1                apk           
apk-tools                  2.14.7-r0                apk           
arg_enum_proc_macro        0.3.4                    rust-crate    
arrayvec                   0.7.4                    rust-crate    
at-spi2-core               2.54.1-r2                apk           
at-spi2-core-libs          2.54.1-r2                apk           
av-metrics                 0.9.1                    rust-crate    
av1-grain                  0.2.3                    rust-crate    
avahi-libs                 0.8-r20                  apk           
bash                       5.2.37-r0                apk           
bitflags                   2.4.1                    rust-crate    
bitstream-io               2.2.0                    rust-crate    
brotli-libs                1.1.0-r2                 apk           
busybox                    1.37.0-r14               apk           
busybox-binsh              1.37.0-r14               apk           
c-ares                     1.34.4-r0                apk           
ca-certificates-bundle     20241121-r1              apk           
cairo                      1.18.2-r1                apk           
cairo-gobject              1.18.2-r1                apk           
cdparanoia-libs            10.2-r14                 apk           
cfg-if                     1.0.0                    rust-crate    
clap                       4.4.14                   rust-crate    
clap_builder               4.4.14                   rust-crate    
clap_complete              4.4.6                    rust-crate    
clap_derive                4.4.7                    rust-crate    
clap_lex                   0.6.0                    rust-crate    
colorchoice                1.0.0                    rust-crate    
console                    0.15.8                   rust-crate    
crossbeam                  0.8.4                    rust-crate    
crossbeam-channel          0.5.11                   rust-crate    
crossbeam-deque            0.8.5                    rust-crate    
crossbeam-epoch            0.9.18                   rust-crate    
crossbeam-queue            0.3.11                   rust-crate    
crossbeam-utils            0.8.19                   rust-crate    
cups-libs                  2.4.11-r0                apk           
curl                       8.12.1-r0                apk           
dbus                       1.16.2-r1                apk           
dbus-daemon-launch-helper  1.16.2-r1                apk           
dbus-libs                  1.16.2-r1                apk           
dbus-x11                   1.16.2-r1                apk           
either                     1.9.0                    rust-crate    
errno                      0.3.8                    rust-crate    
eudev-libs                 3.2.14-r5                apk           
fern                       0.6.2                    rust-crate    
ffmpeg-libavcodec          6.1.2-r1                 apk           
ffmpeg-libavutil           6.1.2-r1                 apk           
ffmpeg-libswresample       6.1.2-r1                 apk           
fftw-single-libs           3.3.10-r6                apk           
file                       5.46-r1                  apk           
font-noto                  2025.02.01-r0            apk           
font-noto-common           2025.02.01-r0            apk           
font-noto-math             2025.02.01-r0            apk           
font-noto-symbols          2025.02.01-r0            apk           
fontconfig                 2.15.0-r1                apk           
freetype                   2.13.3-r0                apk           
fribidi                    1.0.16-r0                apk           
gdbm                       1.24-r0                  apk           
gdk-pixbuf                 2.42.12-r1               apk           
getrandom                  0.2.12                   rust-crate    
giflib                     5.2.2-r0                 apk           
glib                       2.84.0-r0                apk           
gmp                        6.3.0-r3                 apk           
gnutls                     3.8.8-r0                 apk           
graphene                   1.10.8-r5                apk           
graphite2                  1.3.14-r6                apk           
gst-plugins-base           1.24.12-r0               apk           
gstreamer                  1.24.12-r0               apk           
gstreamer-ptp-helper       1.24.12-r0               apk           
gtk+3.0                    3.24.49-r0               apk           
gtk-update-icon-cache      3.24.49-r0               apk           
harfbuzz                   10.2.0-r0                apk           
heck                       0.4.1                    rust-crate    
hicolor-icon-theme         0.18-r0                  apk           
hwdata-pci                 0.393-r0                 apk           
imath                      3.1.12-r0                apk           
interpolate_name           0.2.4                    rust-crate    
itertools                  0.10.5                   rust-crate    
itertools                  0.12.0                   rust-crate    
ivf                        0.1.3                    rust-crate    
lab                        0.11.0                   rust-crate    
lame-libs                  3.100-r5                 apk           
lazy_static                1.4.0                    rust-crate    
lcms2                      2.16-r0                  apk           
libSvtAv1Enc               2.3.0-r0                 apk           
libasyncns                 0.8-r4                   apk           
libatk-1.0                 2.54.1-r2                apk           
libatk-bridge-2.0          2.54.1-r2                apk           
libblkid                   2.40.4-r0                apk           
libbsd                     0.12.2-r0                apk           
libbz2                     1.0.8-r6                 apk           
libc                       0.2.152                  rust-crate    
libcap2                    2.73-r0                  apk           
libcrypto3                 3.3.2-r4                 apk           
libcurl                    8.12.1-r0                apk           
libdav1d                   1.5.1-r0                 apk           
libdeflate                 1.23-r0                  apk           
libdrm                     2.4.124-r0               apk           
libeconf                   0.6.3-r0                 apk           
libelf                     0.192-r0                 apk           
libepoxy                   1.5.10-r1                apk           
libevent                   2.1.12-r8                apk           
libexpat                   2.6.4-r0                 apk           
libffi                     3.4.7-r0                 apk           
libflac                    1.4.3-r1                 apk           
libgcc                     14.2.0-r5                apk           
libgomp                    14.2.0-r5                apk           
libhwy                     1.0.7-r1                 apk           
libice                     1.1.2-r0                 apk           
libidn2                    2.3.7-r0                 apk           
libintl                    0.22.5-r0                apk           
libjpeg-turbo              3.1.0-r0                 apk           
libjxl                     0.10.3-r1                apk           
libltdl                    2.5.4-r0                 apk           
libmagic                   5.46-r1                  apk           
libmd                      1.1.0-r0                 apk           
libmount                   2.40.4-r0                apk           
libncursesw                6.5_p20250216-r0         apk           
libogg                     1.3.5-r5                 apk           
libpanelw                  6.5_p20250216-r0         apk           
libpciaccess               0.18.1-r0                apk           
libpng                     1.6.47-r0                apk           
libpsl                     0.21.5-r3                apk           
libpulse                   17.0-r5                  apk           
librewolf                  136.0_p2-r0              apk           
libsharpyuv                1.5.0-r0                 apk           
libsm                      1.2.5-r0                 apk           
libsndfile                 1.2.2-r2                 apk           
libssl3                    3.3.2-r4                 apk           
libstdc++                  14.2.0-r5                apk           
libtasn1                   4.20.0-r0                apk           
libtheora                  1.1.1-r18                apk           
libunistring               1.3-r0                   apk           
libuuid                    2.40.4-r0                apk           
libva                      2.22.0-r1                apk           
libva-intel-driver         2.4.1-r2                 apk           
libvdpau                   1.5-r4                   apk           
libvorbis                  1.3.7-r2                 apk           
libvpx                     1.15.0-r0                apk           
libwebp                    1.5.0-r0                 apk           
libwebpdemux               1.5.0-r0                 apk           
libwebpmux                 1.5.0-r0                 apk           
libx11                     1.8.11-r0                apk           
libxau                     1.0.12-r0                apk           
libxcb                     1.17.0-r0                apk           
libxcomposite              0.4.6-r5                 apk           
libxcursor                 1.2.3-r0                 apk           
libxdamage                 1.1.6-r5                 apk           
libxdmcp                   1.1.5-r1                 apk           
libxext                    1.3.6-r2                 apk           
libxfixes                  6.0.1-r4                 apk           
libxft                     2.3.8-r3                 apk           
libxi                      1.8.2-r0                 apk           
libxinerama                1.1.5-r4                 apk           
libxkbcommon               1.8.0-r0                 apk           
libxml2                    2.13.6-r0                apk           
libxmu                     1.2.1-r0                 apk           
libxrandr                  1.5.4-r1                 apk           
libxrender                 0.9.12-r0                apk           
libxscrnsaver              1.2.4-r3                 apk           
libxshmfence               1.3.3-r0                 apk           
libxt                      1.3.1-r0                 apk           
libxtst                    1.2.5-r0                 apk           
libxv                      1.0.13-r0                apk           
libxvmc                    1.0.14-r1                apk           
libxxf86vm                 1.1.6-r0                 apk           
linux-raw-sys              0.4.12                   rust-crate    
llvm19-libs                19.1.7-r0                apk           
log                        0.4.20                   rust-crate    
maybe-rayon                0.1.1                    rust-crate    
memchr                     2.7.1                    rust-crate    
mesa                       24.3.4-r0                apk           
mesa-dri-gallium           24.3.4-r0                apk           
mesa-egl                   24.3.4-r0                apk           
mesa-gbm                   24.3.4-r0                apk           
mesa-gl                    24.3.4-r0                apk           
