NAME                                      VERSION                               TYPE        
adduser                                   3.152                                 deb          
adwaita-icon-theme                        48.1-1                                deb          
annotated-types                           0.7.0                                 python       
apt                                       3.0.3                                 deb          
at-spi2-common                            2.56.2-1+deb13u1                      deb          
autocommand                               2.2.2                                 python       
backports-tarfile                         1.2.0                                 python       
base-files                                13.8+deb13u6                          deb          
base-passwd                               3.6.7                                 deb          
bash                                      5.2.37-2+b9                           deb          
binutils                                  2.44-3                                deb          
binutils-common                           2.44-3                                deb          
binutils-x86-64-linux-gnu                 2.44-3                                deb          
bsdutils                                  1:2.41.5-0+deb13u1                    deb          
ca-certificates                           20250419                              deb          
cli                                       UNKNOWN                               binary       
cli-32                                    UNKNOWN                               binary       
cli-64                                    UNKNOWN                               binary       
cli-arm64                                 UNKNOWN                               binary       
coreutils                                 9.7-3                                 deb          
cpp                                       4:14.2.0-1                            deb          
cpp-14                                    14.2.0-19                             deb          
cpp-14-x86-64-linux-gnu                   14.2.0-19                             deb          
cpp-x86-64-linux-gnu                      4:14.2.0-1                            deb          
curl                                      8.14.1-2+deb13u4                      deb          
dash                                      0.5.12-12                             deb          
dbus-bin                                  1.16.2-2                              deb          
dbus-daemon                               1.16.2-2                              deb          
dbus-session-bus-common                   1.16.2-2                              deb          
dbus-x11                                  1.16.2-2                              deb          
dconf-gsettings-backend                   0.40.0-5                              deb          
dconf-service                             0.40.0-5                              deb          
debconf                                   1.5.91                                deb          
debian-archive-keyring                    2025.1                                deb          
debianutils                               5.23.2                                deb          
desktop-file-utils                        0.28-1                                deb          
diffutils                                 1:3.10-4                              deb          
dpkg                                      1.22.22                               deb          
filippo.io/edwards25519                   v1.1.0                                go-module    
findutils                                 4.10.0-3                              deb          
fontconfig                                2.15.0-2.3                            deb          
fontconfig-config                         2.15.0-2.3                            deb          
fonts-noto                                20201225-2                            deb          
fonts-noto-core                           20201225-2                            deb          
fonts-noto-mono                           20201225-2                            deb          
gcc                                       4:14.2.0-1                            deb          
gcc-14                                    14.2.0-19                             deb          
gcc-14-base                               14.2.0-19                             deb          
gcc-14-x86-64-linux-gnu                   14.2.0-19                             deb          
gcc-x86-64-linux-gnu                      4:14.2.0-1                            deb          
github.com/coder/websocket                v1.8.12                               go-module    
github.com/evanw/esbuild                  v0.0.0-20240922020442-d34e79e2a998    go-module    
github.com/fxamacker/cbor/v2              v2.7.0                                go-module    
github.com/gaissmai/bart                  v0.18.0                               go-module    
github.com/go-json-experiment/json        v0.0.0-20250813024750-ebf49471dced    go-module    
github.com/godbus/dbus/v5                 v5.1.1-0.20230522191255-76236955d466  go-module    
github.com/golang/groupcache              v0.0.0-20210331224755-41bb18bfe9da    go-module    
github.com/google/btree                   v1.1.2                                go-module    
github.com/gorilla/websocket              v1.5.3                                go-module    
github.com/hdevalence/ed25519consensus    v0.2.0                                go-module    
github.com/jsimonetti/rtnetlink           v1.4.0                                go-module    
github.com/klauspost/compress             v1.17.11                              go-module    
github.com/mdlayher/netlink               v1.7.3-0.20250113171957-fbb4dce95f42  go-module    
github.com/mdlayher/socket                v0.5.0                                go-module    
github.com/mitchellh/go-ps                v1.0.0                                go-module    
github.com/safchain/ethtool               v0.3.0                                go-module    
github.com/tailscale/goupnp               v1.0.1-0.20210804011211-c64d0f06ea05  go-module    
github.com/tailscale/hujson               v0.0.0-20221223112325-20486734a56a    go-module    
github.com/tailscale/peercred             v0.0.0-20250107143737-35a0c7bd7edc    go-module    
github.com/tailscale/web-client-prebuilt  v0.0.0-20250124233751-d4cd19a26976    go-module    
github.com/tailscale/wireguard-go         v0.0.0-20250716170648-1d0488a3d7da    go-module    
github.com/x448/float16                   v0.8.4                                go-module    
go4.org/mem                               v0.0.0-20240501181205-ae6ca9944745    go-module    
go4.org/netipx                            v0.0.0-20231129151722-fdeea329fbba    go-module    
golang.org/x/crypto                       v0.38.0                               go-module    
golang.org/x/exp                          v0.0.0-20250210185358-939b2ce775ac    go-module    
golang.org/x/net                          v0.40.0                               go-module    
golang.org/x/oauth2                       v0.30.0                               go-module    
golang.org/x/sync                         v0.14.0                               go-module    
golang.org/x/sys                          v0.0.0-20220715151400-c0bba94af5f8    go-module    
golang.org/x/sys                          v0.33.0                               go-module    
golang.org/x/term                         v0.32.0                               go-module    
golang.org/x/text                         v0.25.0                               go-module    
golang.org/x/time                         v0.11.0                               go-module    
grep                                      3.11-4                                deb          
gtk-update-icon-cache                     4.18.6+ds-2                           deb          
gui                                       UNKNOWN                               binary       
gui-32                                    UNKNOWN                               binary       
gui-64                                    UNKNOWN                               binary       
gui-arm64                                 UNKNOWN                               binary       
gvisor.dev/gvisor                         v0.0.0-20250205023644-9414b50a5633    go-module    
gzip                                      1.13-1                                deb          
hicolor-icon-theme                        0.18-2                                deb          
hostname                                  3.25                                  deb          
importlib-metadata                        8.0.0                                 python       
inflect                                   7.3.1                                 python       
init-system-helpers                       1.69~deb13u1                          deb          
iso-codes                                 4.18.0-1                              deb          
jaraco-collections                        5.1.0                                 python       
jaraco-context                            5.3.0                                 python       
jaraco-functools                          4.0.1                                 python       
jaraco-text                               3.12.1                                python       
jq                                        1.7.1-6+deb13u3                       deb          
keyboard-configuration                    1.242~deb13u1                         deb          
libabsl20240722                           20240722.0-4                          deb          
libacl1                                   2.3.2-2+b1                            deb          
libaom3                                   3.12.1-1+deb13u1                      deb          
libapparmor1                              4.1.0-1                               deb          
libapt-pkg7.0                             3.0.3                                 deb          
libasan8                                  14.2.0-19                             deb          
libasound2-data                           1.2.14-1                              deb          
libasound2-plugins                        1.2.12-2+b1                           deb          
libasound2t64                             1.2.14-1                              deb          
libasyncns0                               0.8-6+b5                              deb          
libatk-bridge2.0-0t64                     2.56.2-1+deb13u1                      deb          
libatk1.0-0t64                            2.56.2-1+deb13u1                      deb          
