NAME                       VERSION                  TYPE     
adwaita-icon-theme         46.0-r0                  apk       
alpine-baselayout          3.6.5-r0                 apk       
alpine-baselayout-data     3.6.5-r0                 apk       
alpine-keys                2.4-r1                   apk       
alsa-lib                   1.2.11-r0                apk       
anyio                      0.0.0                    python    
apk-tools                  2.14.4-r0                apk       
at-spi2-core               2.52.0-r0                apk       
avahi-libs                 0.8-r17                  apk       
bash                       5.2.26-r0                apk       
beautifulsoup4             4.12.3                   python    
brotli-libs                1.1.0-r2                 apk       
busybox                    1.36.1-r29               apk       
busybox-binsh              1.36.1-r29               apk       
c-ares                     1.33.1-r0                apk       
ca-certificates            20240705-r0              apk       
ca-certificates-bundle     20240705-r0              apk       
cairo                      1.18.0-r0                apk       
cairo-gobject              1.18.0-r0                apk       
cdparanoia-libs            10.2-r14                 apk       
certifi                    2024.2.2                 python    
cups-libs                  2.4.9-r1                 apk       
curio                      1.6                      python    
curl                       8.10.1-r0                apk       
dbus                       1.14.10-r1               apk       
dbus-daemon-launch-helper  1.14.10-r1               apk       
dbus-libs                  1.14.10-r1               apk       
dbus-x11                   1.14.10-r1               apk       
duktape                    2.7.0-r1                 apk       
eudev-libs                 3.2.14-r2                apk       
fftw-single-libs           3.3.10-r5                apk       
file                       5.45-r1                  apk       
font-noto                  23.7.1-r0                apk       
font-noto-common           23.7.1-r0                apk       
font-noto-math             23.7.1-r0                apk       
font-noto-symbols          23.7.1-r0                apk       
fontconfig                 2.15.0-r1                apk       
freetype                   2.13.2-r0                apk       
fribidi                    1.0.15-r0                apk       
gdbm                       1.23-r1                  apk       
gdk-pixbuf                 2.42.12-r0               apk       
glib                       2.80.5-r0                apk       
glib-networking            2.80.0-r0                apk       
gmp                        6.3.0-r1                 apk       
gnutls                     3.8.5-r0                 apk       
gobject-introspection      1.80.1-r2                apk       
graphene                   1.10.8-r4                apk       
graphite2                  1.3.14-r6                apk       
gsettings-desktop-schemas  46.0-r0                  apk       
gst-plugins-base           1.24.3-r0                apk       
gst-plugins-good           1.24.3-r0                apk       
gstreamer                  1.24.3-r0                apk       
gtk+3.0                    3.24.43-r0               apk       
gtk-update-icon-cache      3.24.43-r0               apk       
h11                        0.14.0                   python    
harfbuzz                   8.5.0-r0                 apk       
hicolor-icon-theme         0.17-r2                  apk       
httpcore                   1.0.4                    python    
httpx                      0.27.0                   python    
hwdata-pci                 0.382-r0                 apk       
idna                       3.7                      python    
lame-libs                  3.100-r5                 apk       
lcms2                      2.16-r0                  apk       
libacl                     2.3.2-r0                 apk       
libarchive                 3.7.7-r0                 apk       
libasyncns                 0.8-r3                   apk       
libatk-1.0                 2.52.0-r0                apk       
libatk-bridge-2.0          2.52.0-r0                apk       
libavc1394                 0.5.4-r3                 apk       
libblkid                   2.40.1-r1                apk       
libbsd                     0.12.2-r0                apk       
libbz2                     1.0.8-r6                 apk       
libcap2                    2.70-r0                  apk       
libcrypto3                 3.3.2-r0                 apk       
libcurl                    8.10.1-r0                apk       
libdrm                     2.4.120-r0               apk       
libdv                      1.0.0-r7                 apk       
libeconf                   0.6.3-r0                 apk       
libelf                     0.191-r0                 apk       
libepoxy                   1.5.10-r1                apk       
