NAME                                                    VERSION                                                                       TYPE                           
SparseBitSet                                            1.3                                                                           java-archive                    
adduser                                                 3.134                                                                         deb                             
adwaita-icon-theme                                      43-1                                                                          deb                             
animal-sniffer-annotations                              1.17                                                                          java-archive                    
annotations                                             UNKNOWN                                                                       java-archive                    
api                                                     1.0-SNAPSHOT                                                                  java-archive                    
apt                                                     2.6.1                                                                         deb                             
archive-mtz                                             1.0-SNAPSHOT                                                                  java-archive                    
asm                                                     9.1                                                                           java-archive                    
asm                                                     9.2                                                                           java-archive                    
asm-commons                                             9.2                                                                           java-archive                    
asm-tree                                                9.2                                                                           java-archive                    
asyncutil                                               0.1.0                                                                         java-archive                    
at-spi2-common                                          2.46.0-5                                                                      deb                             
automation                                              1.0-SNAPSHOT                                                                  java-archive                    
base-files                                              12.4+deb12u11                                                                 deb                             
base-passwd                                             3.6.1                                                                         deb                             
bash                                                    5.2.15-2+b8                                                                   deb                             
batik-anim                                              1.14                                                                          java-archive                    
batik-anim                                              1.17                                                                          java-archive                    
batik-awt-util                                          1.14                                                                          java-archive                    
batik-awt-util                                          1.17                                                                          java-archive                    
batik-bridge                                            1.14                                                                          java-archive                    
batik-bridge                                            1.17                                                                          java-archive                    
batik-codec                                             1.17                                                                          java-archive                    
batik-constants                                         1.14                                                                          java-archive                    
batik-constants                                         1.17                                                                          java-archive                    
batik-css                                               1.14                                                                          java-archive                    
batik-css                                               1.17                                                                          java-archive                    
batik-dom                                               1.14                                                                          java-archive                    
batik-dom                                               1.17                                                                          java-archive                    
batik-ext                                               1.14                                                                          java-archive                    
batik-ext                                               1.17                                                                          java-archive                    
batik-extension                                         1.17                                                                          java-archive                    
batik-gvt                                               1.14                                                                          java-archive                    
batik-gvt                                               1.17                                                                          java-archive                    
batik-i18n                                              1.14                                                                          java-archive                    
batik-i18n                                              1.17                                                                          java-archive                    
batik-parser                                            1.14                                                                          java-archive                    
batik-parser                                            1.17                                                                          java-archive                    
batik-script                                            1.14                                                                          java-archive                    
batik-script                                            1.17                                                                          java-archive                    
batik-shared-resources                                  1.17                                                                          java-archive                    
batik-svg-dom                                           1.14                                                                          java-archive                    
batik-svg-dom                                           1.17                                                                          java-archive                    
batik-svggen                                            1.17                                                                          java-archive                    
batik-transcoder                                        1.17                                                                          java-archive                    
batik-util                                              1.14                                                                          java-archive                    
