NAME                              VERSION                               TYPE                   
adduser                           3.137ubuntu1                          deb                     
adwaita-icon-theme                46.0-1                                deb                     
apt                               2.8.3                                 deb                     
at-spi2-common                    2.52.0-1build1                        deb                     
base-files                        13ubuntu10.4                          deb                     
base-passwd                       3.6.3build1                           deb                     
bash                              5.2.21-2ubuntu4                       deb                     
bsdutils                          1:2.39.3-9ubuntu6.5                   deb                     
bubblewrap                        0.9.0-1ubuntu0.1                      deb                     
ca-certificates                   20240203                              deb                     
coreutils                         9.4-3ubuntu6.2                        deb                     
curl                              8.5.0-2ubuntu10.8                     deb                     
dash                              0.5.12-6ubuntu5                       deb                     
dbus-bin                          1.14.10-4ubuntu4.1                    deb                     
dbus-daemon                       1.14.10-4ubuntu4.1                    deb                     
dbus-session-bus-common           1.14.10-4ubuntu4.1                    deb                     
dbus-x11                          1.14.10-4ubuntu4.1                    deb                     
dconf-gsettings-backend           0.40.0-4ubuntu0.1                     deb                     
dconf-service                     0.40.0-4ubuntu0.1                     deb                     
debconf                           1.5.86ubuntu1                         deb                     
debianutils                       5.17build1                            deb                     
desktop-file-utils                0.27-2build1                          deb                     
dictionaries-common               1.29.7                                deb                     
diffutils                         1:3.10-1build1                        deb                     
dom7                              4.0.1                                 npm     (+1 duplicate)  
dpkg                              1.22.6ubuntu6.5                       deb                     
e2fsprogs                         1.47.0-2.4~exp1ubuntu4.1              deb                     
emacsen-common                    3.0.5                                 deb                     
findutils                         4.9.0-5build1                         deb                     
fontconfig                        2.15.0-1.1ubuntu2                     deb                     
fontconfig-config                 2.15.0-1.1ubuntu2                     deb                     
fonts-noto                        20201225-2                            deb                     
fonts-noto-core                   20201225-2                            deb                     
fonts-noto-mono                   20201225-2                            deb                     
gcc-14-base                       14.2.0-4ubuntu2~24.04.1               deb                     
gdal-data                         3.8.4+dfsg-3ubuntu3                   deb                     
gdal-plugins                      3.8.4+dfsg-3ubuntu3                   deb                     
gir1.2-atk-1.0                    2.52.0-1build1                        deb                     
gir1.2-atspi-2.0                  2.52.0-1build1                        deb                     
gir1.2-freedesktop                1.80.1-1                              deb                     
gir1.2-freedesktop-dev            1.80.1-1                              deb                     
gir1.2-glib-2.0                   2.80.0-6ubuntu3.8                     deb                     
gir1.2-glib-2.0-dev               2.80.0-6ubuntu3.8                     deb                     
gir1.2-gst-plugins-bad-1.0        1.24.2-1ubuntu4                       deb                     
gir1.2-gst-plugins-base-1.0       1.24.2-1ubuntu0.4                     deb                     
gir1.2-gstreamer-1.0              1.24.2-1ubuntu0.1                     deb                     
gir1.2-gudev-1.0                  1:238-5ubuntu1                        deb                     
git                               1:2.43.0-1ubuntu7.3                   deb                     
git-man                           1:2.43.0-1ubuntu7.3                   deb                     
glib-networking                   2.80.0-1build1                        deb                     
glib-networking-common            2.80.0-1build1                        deb                     
glib-networking-services          2.80.0-1build1                        deb                     
gpgv                              2.4.4-2ubuntu17.4                     deb                     
grep                              3.11-4build1                          deb                     
gsettings-desktop-schemas         46.1-0ubuntu1                         deb                     
gstreamer1.0-alsa                 1.24.2-1ubuntu0.4                     deb                     
gstreamer1.0-gl                   1.24.2-1ubuntu0.4                     deb                     
gstreamer1.0-gtk3                 1.24.2-1ubuntu1.3                     deb                     
gstreamer1.0-libav                1.24.1-1build1                        deb                     
gstreamer1.0-plugins-bad          1.24.2-1ubuntu4                       deb                     
gstreamer1.0-plugins-base         1.24.2-1ubuntu0.4                     deb                     
gstreamer1.0-plugins-good         1.24.2-1ubuntu1.3                     deb                     
gstreamer1.0-plugins-ugly         1.24.1-1build1                        deb                     
gstreamer1.0-pulseaudio           1.24.2-1ubuntu1.3                     deb                     
gstreamer1.0-qt5                  1.24.2-1ubuntu1.3                     deb                     
gstreamer1.0-tools                1.24.2-1ubuntu0.1                     deb                     
gstreamer1.0-x                    1.24.2-1ubuntu0.4                     deb                     
gtk-update-icon-cache             3.24.41-4ubuntu1.3                    deb                     
gzip                              1.12-1ubuntu3.1                       deb                     
hicolor-icon-theme                0.17-2                                deb                     
hostname                          3.23+nmu2ubuntu2                      deb                     
humanity-icon-theme               0.6.16                                deb                     
hunspell-en-us                    1:2020.12.07-2                        deb                     
ibverbs-providers                 50.0-2ubuntu0.2                       deb                     
init-system-helpers               1.66ubuntu1                           deb                     
iso-codes                         4.16.0-1                              deb                     
keyboard-configuration            1.226ubuntu1                          deb                     
liba52-0.7.4                      0.7.4-20build1                        deb                     
libaa1                            1.4p5-51.1                            deb                     
libacl1                           2.3.2-1build1.1                       deb                     
libaec0                           1.1.2-1build1                         deb                     
libalien-wxwidgets-perl           0.69+dfsg-6build7                     deb                     
libamd-comgr2                     6.0+git20231212.4510c28+dfsg-3build2  deb                     
libamdhip64-5                     5.7.1-3                               deb                     
libaom3                           3.8.2-2ubuntu0.1                      deb                     
libapparmor1                      4.0.1really4.0.1-0ubuntu0.24.04.6     deb                     
libapt-pkg6.0t64                  2.8.3                                 deb                     
libarchive13t64                   3.7.2-2ubuntu0.6                      deb                     
libargon2-1                       0~20190702+dfsg-4build1               deb                     
libarmadillo12                    1:12.6.7+dfsg-1build2                 deb                     
libarpack2t64                     3.9.1-1.1build2                       deb                     
libasound2-data                   1.2.11-1ubuntu0.2                     deb                     
libasound2-plugins                1.2.7.1-1ubuntu5                      deb                     
libasound2t64                     1.2.11-1ubuntu0.2                     deb                     
libaspell15                       0.60.8.1-1build1                      deb                     
libass9                           1:0.17.1-2build1                      deb                     
libassuan0                        2.5.6-1build1                         deb                     
libasyncns0                       0.8-6build4                           deb                     
libatk-bridge2.0-0t64             2.52.0-1build1                        deb                     
libatk-bridge2.0-dev              2.52.0-1build1                        deb                     
libatk1.0-0t64                    2.52.0-1build1                        deb                     
libatk1.0-dev                     2.52.0-1build1                        deb                     
libatk1.0-doc                     2.52.0-1build1                        deb                     
libatomic1                        14.2.0-4ubuntu2~24.04.1               deb                     
libatspi2.0-0t64                  2.52.0-1build1                        deb                     
libatspi2.0-dev                   2.52.0-1build1                        deb                     
libattr1                          1:2.5.2-1build1.1                     deb                     
libaudit-common                   1:3.1.2-2.1build1.1                   deb                     
libaudit1                         1:3.1.2-2.1build1.1                   deb                     
libavahi-client3                  0.8-13ubuntu6.1                       deb                     
libavahi-common-data              0.8-13ubuntu6.1                       deb                     
libavahi-common3                  0.8-13ubuntu6.1                       deb                     
libavc1394-0                      0.5.4-5build3                         deb                     
libavcodec-dev                    7:6.1.1-3ubuntu5                      deb                     
libavcodec60                      7:6.1.1-3ubuntu5                      deb                     
libavfilter9                      7:6.1.1-3ubuntu5                      deb                     
libavformat-dev                   7:6.1.1-3ubuntu5                      deb                     
libavformat60                     7:6.1.1-3ubuntu5                      deb                     
libavtp0                          0.2.0-1build1                         deb                     
libavutil-dev                     7:6.1.1-3ubuntu5                      deb                     
libavutil58                       7:6.1.1-3ubuntu5                      deb                     
libblas3                          3.12.0-3build1.1                      deb                     
libblkid-dev                      2.39.3-9ubuntu6.5                     deb                     
libblkid1                         2.39.3-9ubuntu6.5                     deb                     
libblosc1                         1.21.5+ds-1build1                     deb                     
libbluray2                        1:1.3.4-1build1                       deb                     
libbrotli1                        1.1.0-2build2                         deb                     
libbs2b0                          3.1.0+dfsg-7build1                    deb                     
libbsd0                           0.12.1-1build1.1                      deb                     
libbz2-1.0                        1.0.8-5.1build0.1                     deb                     
libc-bin                          2.39-0ubuntu8.7                       deb                     
libc-dev-bin                      2.39-0ubuntu8.7                       deb                     
libc6                             2.39-0ubuntu8.7                       deb                     
libc6-dev                         2.39-0ubuntu8.7                       deb                     
libcaca0                          0.99.beta20-4ubuntu0.1                deb                     
libcairo-gobject2                 1.18.0-3build1                        deb                     
libcairo2                         1.18.0-3build1                        deb                     
libcap-ng0                        0.8.4-2build2                         deb                     
libcap2                           1:2.66-5ubuntu2.4                     deb                     
libcap2-bin                       1:2.66-5ubuntu2.4                     deb                     
libcdio19t64                      2.1.0-4.1ubuntu1.2                    deb                     
libcdparanoia0                    3.10.2+debian-14build3                deb                     
libcfitsio10t64                   4.3.1-1.1build2                       deb                     
libcharls2                        2.4.2-2build2                         deb                     
libchromaprint1                   1.5.1-5                               deb                     
libcjson1                         1.7.17-1                              deb                     
libcodec2-1.2                     1.2.0-2build1                         deb                     
libcolord2                        1.4.7-1build2                         deb                     
libcom-err2                       1.47.0-2.4~exp1ubuntu4.1              deb                     
libcrypt-dev                      1:4.4.36-4build1                      deb                     
libcrypt1                         1:4.4.36-4build1                      deb                     
libcryptsetup12                   2:2.7.0-1ubuntu4.2                    deb                     
libcups2t64                       2.4.7-1.2ubuntu7.9                    deb                     
libcurl3t64-gnutls                8.5.0-2ubuntu10.8                     deb                     
libcurl4t64                       8.5.0-2ubuntu10.8                     deb                     
libdatrie1                        0.2.13-3build1                        deb                     
libdav1d7                         1.4.1-1build1                         deb                     
libdb5.3t64                       5.3.28+dfsg2-7                        deb                     
libdbus-1-3                       1.14.10-4ubuntu4.1                    deb                     
libdbus-1-dev                     1.14.10-4ubuntu4.1                    deb                     
libdc1394-25                      2.2.6-4build1                         deb                     
libdc1394-dev                     2.2.6-4build1                         deb                     
libdca0                           0.0.7-2build1                         deb                     
libdconf1                         0.40.0-4ubuntu0.1                     deb                     
libde265-0                        1.0.15-1build3                        deb                     
libdebconfclient0                 0.271ubuntu3                          deb                     
libdecor-0-0                      0.2.2-1build2                         deb                     
libdeflate-dev                    1.19-1build1.1                        deb                     
libdeflate0                       1.19-1build1.1                        deb                     
libdevmapper1.02.1                2:1.02.185-3ubuntu3.2                 deb                     
libdirectfb-1.7-7t64              1.7.7-11.1ubuntu2                     deb                     
libdouble-conversion3             3.3.0-1build1                         deb                     
libdrm-amdgpu1                    2.4.125-1ubuntu0.1~24.04.1            deb                     
libdrm-common                     2.4.125-1ubuntu0.1~24.04.1            deb                     
libdrm-dev                        2.4.125-1ubuntu0.1~24.04.1            deb                     
libdrm-intel1                     2.4.125-1ubuntu0.1~24.04.1            deb                     
libdrm-nouveau2                   2.4.125-1ubuntu0.1~24.04.1            deb                     
libdrm-radeon1                    2.4.125-1ubuntu0.1~24.04.1            deb                     
libdrm2                           2.4.125-1ubuntu0.1~24.04.1            deb                     
libduktape207                     2.7.0+tests-0ubuntu3                  deb                     
libdv4t64                         1.0.0-17.1build1                      deb                     
libdvdnav4                        6.1.1-3build1                         deb                     
libdvdread8t64                    6.1.3-1.1build1                       deb                     
libdw-dev                         0.190-1.1ubuntu0.1                    deb                     
libdw1t64                         0.190-1.1ubuntu0.1                    deb                     
libedit2                          3.1-20230828-1build1                  deb                     
libegl-dev                        1.7.0-1build1                         deb                     
libegl-mesa0                      25.2.8-0ubuntu0.24.04.1               deb                     
libegl1                           1.7.0-1build1                         deb                     
libelf-dev                        0.190-1.1ubuntu0.1                    deb                     
libelf1t64                        0.190-1.1ubuntu0.1                    deb                     
libenchant-2-2                    2.3.3-2build2                         deb                     
libepoxy0                         1.5.10-1build1                        deb                     
liberror-perl                     0.17029-2                             deb                     
libevdev2                         1.13.1+dfsg-1build1                   deb                     
libevent-core-2.1-7t64            2.1.12-stable-9ubuntu2                deb                     
libevent-pthreads-2.1-7t64        2.1.12-stable-9ubuntu2                deb                     
libexif-dev                       0.6.24-1build2                        deb                     
libexif12                         0.6.24-1build2                        deb                     
libexpat1                         2.6.1-2ubuntu0.4                      deb                     
libext2fs2t64                     1.47.0-2.4~exp1ubuntu4.1              deb                     
libfaad2                          2.11.1-1build1                        deb                     
libfabric1                        1.17.0-3build2                        deb                     
libfdisk1                         2.39.3-9ubuntu6.5                     deb                     
libffi-dev                        3.4.6-1build1                         deb                     
libffi8                           3.4.6-1build1                         deb                     
libfftw3-double3                  3.3.10-1ubuntu3                       deb                     
libfftw3-single3                  3.3.10-1ubuntu3                       deb                     
libflac12t64                      1.4.3+ds-2.1ubuntu2                   deb                     
libflite1                         2.2-6build3                           deb                     
libfluidsynth3                    2.3.4-1build3                         deb                     
libfontconfig1                    2.15.0-1.1ubuntu2                     deb                     
libfontenc1                       1:1.1.8-1build1                       deb                     
libfreeaptx0                      0.1.1-2build1                         deb                     
libfreetype6                      2.13.2+dfsg-1ubuntu0.1                deb                     
libfreexl1                        2.0.0-1build2                         deb                     
libfribidi0                       1.0.13-3build1                        deb                     
libfyba0t64                       4.1.1-11build1                        deb                     
