NAME                                       VERSION                         TYPE                    
@1password/sdk                             0.1.1                           npm                      
@1password/sdk-core                        0.1.0-beta.15                   npm                      
@arr/every                                 1.0.1                           npm                      
@azure/msal-common                         14.7.1                          npm                      
@azure/msal-node                           2.6.4                           npm                      
@babel/runtime                             7.25.4                          npm                      
@colors/colors                             1.5.0                           npm                      
@electron/remote                           2.1.2                           npm                      
@faker-js/faker                            5.5.3                           npm                      
@isaacs/cliui                              8.0.2                           npm                      
@js-sdsl/ordered-map                       4.4.2                           npm                      
@my-scope/package-a                        0.0.0                           npm                      
@my-scope/package-b                        0.0.0                           npm                      
@n1ru4l/push-pull-async-iterable-iterator  3.1.0                           npm                      
@npmcli/agent                              2.2.2                           npm                      
@npmcli/fs                                 3.1.1                           npm                      
@pkgjs/parseargs                           0.11.0                          npm                      
@polka/send                                0.4.0                           npm                      
@polka/url                                 0.5.0                           npm                      
@postman-app/app-updater                   1.0.10                          npm                      
@postman/app-logger                        2.1.0                           npm                      
@postman/form-data                         3.1.1                           npm                      
@postman/grpc-js                           1.11.0-postman.1                npm                      
@postman/grpc-reflection-js                0.1.2-postman.6                 npm                      
@postman/hermes                            1.1.4                           npm                      
@postman/pem                               1.14.6                          npm                      
@postman/proto-loader                      0.7.13-postman.3                npm                      
@postman/protobufjs                        7.3.2-postman.3                 npm                      
@postman/runtime                           0.4.12                          npm                      
@postman/runtime.auth                      0.1.13                          npm                      
@postman/runtime.collection                0.1.13                          npm                      
@postman/runtime.core                      0.4.0                           npm                      
@postman/runtime.documentation             0.1.13                          npm                      
@postman/runtime.event-channel             0.2.0                           npm                      
@postman/runtime.events                    0.1.17                          npm                      
@postman/runtime.folder                    0.1.13                          npm                      
@postman/runtime.grpc-client               0.2.5                           npm                      
@postman/runtime.grpc-request              0.2.9                           npm                      
@postman/runtime.grpc-utils                0.2.3                           npm                      
@postman/runtime.mqtt-client               0.3.0                           npm                      
@postman/runtime.mqtt-request              0.4.0                           npm                      
@postman/runtime.mqtt-utils                0.2.2                           npm                      
@postman/runtime.runtime-rpc               0.2.0                           npm                      
@postman/runtime.runtime-rpc-electron      0.2.0                           npm                      
@postman/runtime.schema                    0.1.13                          npm                      
@postman/runtime.socket.io-client          0.1.3                           npm                      
@postman/runtime.socket.io-request         0.1.5                           npm                      
@postman/runtime.variable-scope            0.2.0                           npm                      
@postman/runtime.variables                 0.1.13                          npm                      
@postman/runtime.websocket-client          0.1.0                           npm                      
@postman/runtime.websocket-request         0.1.5                           npm                      
@postman/tough-cookie                      4.1.3-postman.1                 npm                      
@postman/tunnel-agent                      0.6.4                           npm                      
@protobufjs/aspromise                      1.1.2                           npm                      
@protobufjs/base64                         1.1.2                           npm                      
@protobufjs/codegen                        2.0.4                           npm                      
@protobufjs/eventemitter                   1.1.0                           npm                      
@protobufjs/fetch                          1.1.0                           npm                      
@protobufjs/float                          1.0.2                           npm                      
@protobufjs/inquire                        1.1.0                           npm                      
@protobufjs/path                           1.1.2                           npm                      
@protobufjs/pool                           1.1.0                           npm                      
@protobufjs/utf8                           1.1.0                           npm                      
@raisinten/aes-crypto-js                   0.0.2                           npm                      
@sentry/core                               6.19.7                          npm                      
@sentry/hub                                6.19.7                          npm                      
@sentry/minimal                            6.19.7                          npm                      
@sentry/node                               6.19.7                          npm                      
@sentry/types                              6.19.7                          npm                      
@sentry/utils                              6.19.7                          npm                      
@socket.io/component-emitter               3.1.1                           npm                      
@socket.io/component-emitter               UNKNOWN                         npm     (+1 duplicate)   
@tokenizer/token                           0.3.0                           npm                      
@types/google-protobuf                     3.15.6                          npm                      
@types/json-schema                         7.0.15                          npm                      
@types/lodash                              4.17.7                          npm                      
@types/lodash.set                          4.3.7                           npm                      
@types/node                                22.5.5                          npm                      
@types/readable-stream                     4.0.10                          npm                      
@types/ws                                  8.5.10                          npm                      
Postman                                    11.34.5                         npm                      
abbrev                                     2.0.0                           npm                      
abort-controller                           3.0.0                           npm                      
accepts                                    1.3.8                           npm                      
adduser                                    3.134                           deb                      
adwaita-icon-theme                         43-1                            deb                      
after                                      0.8.2                           npm                      
agent-base                                 6.0.2                           npm                      
agent-base                                 7.1.1                           npm                      
aggregate-error                            3.1.0                           npm                      
ajv                                        6.12.6                          npm                      
ajv                                        8.12.0                          npm                      
ajv-formats                                2.1.1                           npm                      
ansi-regex                                 5.0.1                           npm                      
ansi-regex                                 6.1.0                           npm                      
ansi-styles                                4.3.0                           npm                      
ansi-styles                                6.2.1                           npm                      
apt                                        2.6.1                           deb                      
arraybuffer.slice                          0.0.7                           npm                      
asn1                                       0.2.6                           npm                      
assert-plus                                1.0.0                           npm                      
async                                      0.2.10                          npm                      
async                                      1.5.2                           npm                      
async                                      2.6.4                           npm     (+1 duplicate)   
async                                      3.2.5                           npm                      
async-limiter                              1.0.1                           npm                      
asynckit                                   0.4.0                           npm                      
at-spi2-common                             2.46.0-5                        deb                      
aws-sign2                                  0.7.0                           npm                      
aws4                                       1.13.1                          npm                      
backo2                                     1.0.2                           npm                      
balanced-match                             1.0.2                           npm                      
base-files                                 12.4+deb12u9                    deb                      
base-passwd                                3.6.1                           deb                      
base64-arraybuffer                         0.1.4                           npm                      
base64-arraybuffer                         0.1.5                           npm                      
base64-js                                  1.5.1                           npm                      
base64id                                   2.0.0                           npm                      
bash                                       5.2.15                          binary                   
bash                                       5.2.15-2+b7                     deb                      
baz                                        UNKNOWN                         npm                      
bcrypt-pbkdf                               1.0.2                           npm                      
beep-boop                                  1.2.3                           npm                      
better-assert                              1.0.2                           npm                      
binary-search-tree                         0.2.5                           npm                      
bl                                         4.1.0                           npm                      
bl                                         5.1.0                           npm                      
blob                                       0.0.5                           npm                      
bluebird                                   2.11.0                          npm                      
brace-expansion                            1.1.11                          npm                      
brace-expansion                            2.0.1                           npm                      
brotli                                     1.3.3                           npm                      
browser_field                              UNKNOWN                         npm                      
bsdutils                                   1:2.38.1-5+deb12u3              deb                      
buffer                                     5.7.1                           npm                      
buffer                                     6.0.3                           npm                      
buffer-equal-constant-time                 1.0.1                           npm                      
buffer-from                                1.1.2                           npm                      
bufferhelper                               0.2.1                           npm                      
ca-certificates                            20230311                        deb                      
cacache                                    18.0.4                          npm                      
callsite                                   1.0.0                           npm                      
caseless                                   0.12.0                          npm                      
chardet                                    1.2.1                           npm                      
charenc                                    0.0.2                           npm                      
charset                                    1.0.1                           npm                      
chownr                                     1.1.4                           npm                      
chownr                                     2.0.0                           npm                      
cipher-base                                1.0.4                           npm                      
circular-json                              0.3.0                           npm                      
circular-json                              0.5.9                           npm                      
clean-stack                                2.2.0                           npm                      
cliui                                      8.0.1                           npm                      
color                                      3.2.1                           npm                      
color-convert                              1.9.3                           npm                      
color-convert                              2.0.1                           npm                      
color-name                                 1.1.3                           npm                      
color-name                                 1.1.4                           npm                      
color-string                               1.9.0                           npm                      
colornames                                 1.1.1                           npm                      
colors                                     1.4.0                           npm                      
colorspace                                 1.1.4                           npm                      
combined-stream                            1.0.8                           npm                      
commist                                    1.1.0                           npm                      
commist                                    3.2.0                           npm                      
component-bind                             1.0.0                           npm                      
component-emitter                          1.2.1                           npm     (+1 duplicate)   
component-emitter                          1.3.1                           npm     (+1 duplicate)   
component-inherit                          0.0.3                           npm                      
concat-map                                 0.0.1                           npm                      
concat-stream                              2.0.0                           npm                      
cookie                                     0.3.1                           npm                      
cookie                                     0.4.2                           npm                      
core-util-is                               1.0.2                           npm                      
core-util-is                               1.0.3                           npm                      
coreutils                                  9.1-1                           deb                      
