NAME                                    VERSION                               TYPE                          
@vue/language-server                    2.2.10                                npm                            
@vue/typescript-plugin                  3.0.1                                 npm                            
@vue/typescript-plugin                  3.1.2                                 npm                            
HdrHistogram                            2.2.2                                 java-archive                   
Java-WebSocket                          1.6.0                                 java-archive  (+2 duplicates)  
Microsoft Symbol Server                 10.0.19041.685                        binary                         
Microsoft Symbol Server                 10.0.22000.194                        binary                         
Windows Image Helper                    10.0.19041.685                        binary                         
Windows Image Helper                    10.0.22000.194                        binary                         
_ctypes                                 UNKNOWN                               binary                         
adduser                                 3.152                                 deb                            
agent                                   UNKNOWN                               java-archive                   
aho-corasick-double-array-trie          1.2.3                                 java-archive                   
annotations                             UNKNOWN                               java-archive                   
ant                                     1.9.4                                 java-archive                   
apt                                     3.0.3                                 deb                            
asciidoctor-vscode                      3.3.2-dev                             npm                            
asm                                     UNKNOWN                               java-archive                   
assertj-swing                           3.17.1                                java-archive  (+1 duplicate)   
asyncapi__react-component               2.6.0                                 java-archive                   
attach_amd64                            UNKNOWN                               binary                         
attach_x86                              UNKNOWN                               binary                         
automaton                               1.12-4                                java-archive                   
base-files                              13.8+deb13u5                          deb                            
base-passwd                             3.6.7                                 deb                            
bash                                    5.2.37-2+b9                           deb                            
bat                                     1.0.0                                 npm                            
binutils                                2.44-3                                deb                            
binutils-common                         2.44-3                                deb                            
binutils-x86-64-linux-gnu               2.44-3                                deb                            
blockmap                                UNKNOWN                               java-archive                   
bouncy-castle-pgp                       1.81                                  java-archive                   
bsdutils                                1:2.41-5                              deb                            
ca-certificates                         20250419                              deb                            
caffeine                                3.2.2                                 java-archive                   
carrotsearch-hppc                       0.9.1                                 java-archive                   
cglib                                   3.3.0                                 java-archive                   
cglib-nodep                             3.3.0                                 java-archive                   
cio                                     3.1.3                                 java-archive                   
classgraph                              4.8.181                               java-archive                   
cli                                     1.10.0                                java-archive                   
cli-parser                              1.1.6                                 java-archive                   
clikt                                   UNKNOWN                               java-archive                   
clojure                                 1.0.0                                 npm                            
cloud                                   UNKNOWN                               java-archive                   
cloud-config-client                     UNKNOWN                               java-archive                   
clouds-docker-gateway-frontend          UNKNOWN                               java-archive                   
cmake                                   0.0.17                                npm                            
coffeescript                            1.0.0                                 npm                            
collate                                 77.1                                  java-archive                   
commons-cli                             1.10.0                                java-archive                   
commons-codec                           1.18.0                                java-archive                   
commons-compress                        1.27.1                                java-archive                   
commons-discovery                       0.4                                   java-archive                   
commons-imaging                         1.0-RC-1                              java-archive                   
commons-io                              2.18.0                                java-archive                   
commons-io                              2.8.0                                 java-archive                   
commons-lang3                           3.18.0                                java-archive                   
commons-logging                         1.2                                   java-archive                   
commons-net                             3.9.0                                 java-archive                   
commons-pool2                           2.12.0                                java-archive                   
commons-text                            1.14.0                                java-archive                   
commons-vfs2                            3.0.10                                java-archive                   
completion-ranking-js                   UNKNOWN                               java-archive                   
completion-ranking-sh                   UNKNOWN                               java-archive                   
completion-ranking-typescript           UNKNOWN                               java-archive                   
core                                    1.8.1                                 java-archive                   
core                                    6.8.2                                 java-archive                   
core                                    77.1                                  java-archive                   
core                                    UNKNOWN                               java-archive  (+4 duplicates)  
coreutils                               9.7-3                                 deb                            
