NAME                            VERSION                          TYPE   
adduser                         3.134                            deb     
adwaita-icon-theme              43-1                             deb     
apt                             2.6.1                            deb     
at-spi2-common                  2.46.0-5                         deb     
base-files                      12.4+deb12u8                     deb     
base-passwd                     3.6.1                            deb     
bash                            5.2.15-2+b7                      deb     
bsdutils                        1:2.38.1-5+deb12u2               deb     
ca-certificates                 20230311                         deb     
coreutils                       9.1-1                            deb     
curl                            7.88.1-10+deb12u8                deb     
dash                            0.5.12-2                         deb     
dbus                            1.14.10-1~deb12u1                deb     
dbus-bin                        1.14.10-1~deb12u1                deb     
dbus-daemon                     1.14.10-1~deb12u1                deb     
dbus-session-bus-common         1.14.10-1~deb12u1                deb     
dbus-system-bus-common          1.14.10-1~deb12u1                deb     
dbus-x11                        1.14.10-1~deb12u1                deb     
dconf-gsettings-backend         0.40.0-4                         deb     
dconf-service                   0.40.0-4                         deb     
debconf                         1.5.82                           deb     
debian-archive-keyring          2023.3+deb12u1                   deb     
debianutils                     5.7-0.5~deb12u1                  deb     
desktop-file-utils              0.26-1                           deb     
diffutils                       1:3.8-4                          deb     
dirmngr                         2.2.40-1.1                       deb     
dmsetup                         2:1.02.185-2                     deb     
dpkg                            1.21.22                          deb     
e2fsprogs                       1.47.0-2                         deb     
findutils                       4.9.0-4                          deb     
fontconfig                      2.14.1-4                         deb     
fontconfig-config               2.14.1-4                         deb     
fonts-dejavu-core               2.37-6                           deb     
fonts-noto                      20201225-1                       deb     
fonts-noto-core                 20201225-1                       deb     
gcc-12-base                     12.2.0-14                        deb     
gnupg                           2.2.40-1.1                       deb     
gnupg-l10n                      2.2.40-1.1                       deb     
gnupg-utils                     2.2.40-1.1                       deb     
gpg                             2.2.40-1.1                       deb     
gpg-agent                       2.2.40-1.1                       deb     
gpg-wks-client                  2.2.40-1.1                       deb     
gpg-wks-server                  2.2.40-1.1                       deb     
gpgconf                         2.2.40-1.1                       deb     
gpgsm                           2.2.40-1.1                       deb     
gpgv                            2.2.40-1.1                       deb     
grep                            3.8-5                            deb     
gtk-update-icon-cache           3.24.38-2~deb12u3                deb     
gzip                            1.12-1                           deb     
hicolor-icon-theme              0.17-2                           deb     
hostname                        3.23+nmu1                        deb     
init-system-helpers             1.65.2                           deb     
iso-codes                       4.15.0-1                         deb     
kde-cli-tools                   4:5.27.5.1-2                     deb     
kde-cli-tools-data              4:5.27.5.1-2                     deb     
kded5                           5.103.0-1                        deb     
keyboard-configuration          1.221                            deb     
kio                             5.103.0-1+deb12u1                deb     
kpackagetool5                   5.103.0-1                        deb     
libacl1                         2.3.1-3                          deb     
libaom3                         3.6.0-1+deb12u1                  deb     
libapparmor1                    3.0.8-3                          deb     
libapt-pkg6.0                   2.6.1                            deb     
libargon2-1                     0~20171227-0.3+deb12u1           deb     
libasound2                      1.2.8-1+b1                       deb     
libasound2-data                 1.2.8-1                          deb     
libasound2-plugins              1.2.7.1-1                        deb     
libassuan0                      2.5.5-5                          deb     
libasyncns0                     0.8-6+b3                         deb     
libatk-bridge2.0-0              2.46.0-5                         deb     
libatk1.0-0                     2.46.0-5                         deb     
libatspi2.0-0                   2.46.0-5                         deb     
libattr1                        1:2.5.1-4                        deb     
libaudit-common                 1:3.0.9-1                        deb     
libaudit1                       1:3.0.9-1                        deb     
libavahi-client3                0.8-10                           deb     
libavahi-common-data            0.8-10                           deb     
libavahi-common3                0.8-10                           deb     
libavcodec59                    7:5.1.6-0+deb12u1                deb     
libavutil57                     7:5.1.6-0+deb12u1                deb     
libayatana-appindicator3-1      0.5.92-1                         deb     
libayatana-ido3-0.4-0           0.9.3-1                          deb     
libayatana-indicator3-7         0.9.3-1                          deb     
libblkid1                       2.38.1-5+deb12u2                 deb     
libbrotli1                      1.0.9-2+b6                       deb     
libbsd0                         0.11.7-2                         deb     
libbz2-1.0                      1.0.8-5+b1                       deb     
libc-bin                        2.36-9+deb12u9                   deb     
libc6                           2.36-9+deb12u9                   deb     
libcairo-gobject2               1.16.0-7                         deb     
libcairo2                       1.16.0-7                         deb     
libcanberra0                    0.30-10                          deb     
libcap-ng0                      0.8.3-1+b3                       deb     
libcap2                         1:2.66-4                         deb     
libcap2-bin                     1:2.66-4                         deb     
libcodec2-1.0                   1.0.5-1                          deb     
libcolord2                      1.4.6-2.2                        deb     
libcom-err2                     1.47.0-2                         deb     
libcrypt1                       1:4.4.33-2                       deb     
libcryptsetup12                 2:2.6.1-4~deb12u2                deb     
