NAME                                        VERSION                               TYPE                   
@anthropic-ai/sandbox-runtime               0.0.42                                npm                     
@emnapi/runtime                             1.9.1                                 npm                     
@github/copilot                             1.0.11                                npm                     
@github/copilot-sdk                         0.2.0                                 npm                     
@img/sharp-wasm32                           0.34.5                                npm                     
@isaacs/fs-minipass                         4.0.1                                 npm                     
@microsoft/1ds-core-js                      3.2.13                                npm                     
@microsoft/1ds-post-js                      3.2.13                                npm                     
@microsoft/applicationinsights-core-js      2.8.15                                npm                     
@microsoft/applicationinsights-shims        2.0.2                                 npm                     
@microsoft/dynamicproto-js                  1.1.9                                 npm                     
@parcel/watcher                             2.5.6                                 npm                     
@pondwader/socks5-server                    1.0.10                                npm                     
@tootallnate/once                           3.0.1                                 npm                     
@types/lodash                               4.17.23                               npm                     
@types/lodash-es                            4.17.12                               npm                     
@types/semver                               7.5.8                                 npm                     
@vscode/codicons                            0.0.46-1                              npm                     
@vscode/deviceid                            0.1.4                                 npm                     
@vscode/fs-copyfile                         2.0.0                                 npm                     
@vscode/iconv-lite-umd                      0.7.1                                 npm                     
@vscode/native-watchdog                     1.4.6                                 npm                     
@vscode/policy-watcher                      1.3.7                                 npm                     
@vscode/proxy-agent                         0.40.0                                npm                     
@vscode/ripgrep                             1.17.1                                npm                     
@vscode/spdlog                              0.15.8                                npm                     
@vscode/sqlite3                             5.1.12-vscode                         npm                     
@vscode/sudo-prompt                         9.3.2                                 npm                     
@vscode/tree-sitter-wasm                    0.3.0                                 npm                     
@vscode/vsce-sign                           2.0.9                                 npm                     
@vscode/vscode-languagedetection            1.0.23                                npm                     
@xterm/addon-clipboard                      0.3.0-beta.196                        npm                     
@xterm/addon-image                          0.10.0-beta.196                       npm                     
@xterm/addon-ligatures                      0.11.0-beta.196                       npm                     
@xterm/addon-progress                       0.3.0-beta.196                        npm                     
@xterm/addon-search                         0.17.0-beta.196                       npm                     
@xterm/addon-serialize                      0.15.0-beta.196                       npm                     
@xterm/addon-unicode11                      0.10.0-beta.196                       npm                     
@xterm/addon-webgl                          0.20.0-beta.195                       npm                     
@xterm/headless                             6.1.0-beta.196                        npm                     
@xterm/xterm                                6.1.0-beta.196                        npm                     
Code                                        1.115.0                               npm                     
Microsoft.PowerShell.PSReadLine             2.4.3                                 dotnet                  
Microsoft.PowerShell.PSReadLine.Polyfiller  1.0.0.0                               dotnet  (+1 duplicate)  
Microsoft.PowerShell.Pager                  1.0.0.0                               dotnet                  
adduser                                     3.152                                 deb                     
adwaita-icon-theme                          48.1-1                                deb                     
agent-base                                  7.1.4                                 npm                     
apt                                         3.0.3                                 deb                     
asn1                                        0.2.6                                 npm                     
at-spi2-common                              2.56.2-1+deb13u1                      deb                     
base-files                                  13.8+deb13u4                          deb                     
base-passwd                                 3.6.7                                 deb                     
base64-js                                   1.5.1                                 npm                     
bash                                        5.2.37-2+b8                           deb                     
bat                                         10.0.0                                npm                     
bcrypt-pbkdf                                1.0.2                                 npm                     
bindings                                    1.5.0                                 npm                     
bl                                          4.1.0                                 npm                     
bsdutils                                    1:2.41-5                              deb                     
buffer                                      5.7.1                                 npm                     
buffer-crc32                                0.2.13                                npm                     
builtin-notebook-renderers                  10.0.0                                npm                     
bundle-name                                 4.1.0                                 npm                     
ca-certificates                             20250419                              deb                     
chownr                                      3.0.0                                 npm                     
chrome-remote-interface                     0.33.0                                npm                     
clojure                                     10.0.0                                npm                     
code                                        1.115.0-1775600353                    deb                     
coffeescript                                10.0.0                                npm                     
commander                                   12.1.0                                npm                     
commander                                   2.11.0                                npm                     
commander                                   8.3.0                                 npm                     
configuration-editing                       10.0.0                                npm                     
coreutils                                   9.7-3                                 deb                     
cpp                                         10.0.0                                npm                     
csharp                                      10.0.0                                npm                     
css                                         10.0.0                                npm                     
css-language-features                       10.0.0                                npm                     
curl                                        8.14.1-2+deb13u2                      deb                     
dart                                        10.0.0                                npm                     
dash                                        0.5.12-12                             deb                     
dbus-bin                                    1.16.2-2                              deb                     
dbus-daemon                                 1.16.2-2                              deb                     
dbus-session-bus-common                     1.16.2-2                              deb                     
dbus-x11                                    1.16.2-2                              deb                     
dconf-gsettings-backend                     0.40.0-5                              deb                     
dconf-service                               0.40.0-5                              deb                     
debconf                                     1.5.91                                deb                     
debian-archive-keyring                      2025.1                                deb                     
debianutils                                 5.23.2                                deb                     
debug                                       4.4.3                                 npm                     
debug-auto-launch                           10.0.0                                npm                     
debug-server-ready                          10.0.0                                npm                     
decompress-response                         6.0.0                                 npm                     
deep-extend                                 0.6.0                                 npm                     
default-browser                             5.2.1                                 npm                     
default-browser-id                          5.0.0                                 npm                     
define-lazy-prop                            3.0.0                                 npm                     
desktop-file-utils                          0.28-1                                deb                     
detect-libc                                 2.0.4                                 npm                     
diff                                        10.0.0                                npm                     
diffutils                                   1:3.10-4                              deb                     
dirmngr                                     2.4.7-21+deb13u1+b2                   deb                     
docker                                      10.0.0                                npm                     
dotenv                                      10.0.0                                npm                     
dpkg                                        1.22.22                               deb                     
emmet                                       10.0.0                                npm                     
end-of-stream                               1.4.4                                 npm                     
expand-template                             2.0.3                                 npm                     
extension-editing                           10.0.0                                npm                     
fd-slicer                                   1.1.0                                 npm                     
file-uri-to-path                            1.0.0                                 npm                     
findutils                                   4.10.0-3                              deb                     
fontconfig                                  2.15.0-2.3                            deb                     
fontconfig-config                           2.15.0-2.3                            deb                     
fonts-noto                                  20201225-2                            deb                     
fonts-noto-core                             20201225-2                            deb                     
fonts-noto-mono                             20201225-2                            deb                     
fs-constants                                1.0.0                                 npm                     
fs-extra                                    11.2.0                                npm                     
fsharp                                      10.0.0                                npm                     
gcc-14-base                                 14.2.0-19                             deb                     
git                                         10.0.0                                npm                     
git                                         1:2.47.3-0+deb13u1                    deb                     
git-base                                    10.0.0                                npm                     
git-man                                     1:2.47.3-0+deb13u1                    deb                     
github                                      0.0.1                                 npm                     
github-authentication                       0.0.2                                 npm                     
github-from-package                         0.0.0                                 npm                     
gnupg                                       2.4.7-21+deb13u1                      deb                     
gnupg-l10n                                  2.4.7-21+deb13u1                      deb                     
gnupg2                                      2.4.7-21+deb13u1                      deb                     
go                                          10.0.0                                npm                     
gpg                                         2.4.7-21+deb13u1+b2                   deb                     
gpg-agent                                   2.4.7-21+deb13u1+b2                   deb                     
gpgconf                                     2.4.7-21+deb13u1+b2                   deb                     
gpgsm                                       2.4.7-21+deb13u1+b2                   deb                     
graceful-fs                                 4.2.11                                npm                     
grep                                        3.11-4                                deb                     
groovy                                      10.0.0                                npm                     
grunt                                       10.0.0                                npm                     
gtk-update-icon-cache                       4.18.6+ds-2                           deb                     
gulp                                        10.0.0                                npm                     
gzip                                        1.13-1                                deb                     
handlebars                                  10.0.0                                npm                     
hicolor-icon-theme                          0.18-2                                deb                     
hlsl                                        10.0.0                                npm                     
hostname                                    3.25                                  deb                     
html                                        10.0.0                                npm                     
html-language-features                      10.0.0                                npm                     
http-proxy-agent                            7.0.2                                 npm                     
https-proxy-agent                           7.0.6                                 npm                     
ieee754                                     1.2.1                                 npm                     
inherits                                    2.0.4                                 npm                     
ini                                         1.3.8                                 npm                     
ini                                         10.0.0                                npm                     
init-system-helpers                         1.69~deb13u1                          deb                     
ip-address                                  9.0.5                                 npm                     
ipynb                                       10.0.0                                npm                     
is-docker                                   3.0.0                                 npm                     
is-extglob                                  2.1.1                                 npm                     
is-glob                                     4.0.3                                 npm                     
is-inside-container                         1.0.0                                 npm                     
is-wsl                                      3.1.0                                 npm                     
iso-codes                                   4.18.0-1                              deb                     
jake                                        10.0.0                                npm                     
java                                        10.0.0                                npm                     
javascript                                  10.0.0                                npm                     
js-base64                                   3.7.7                                 npm                     
js-debug                                    1.112.0                               npm                     
js-debug-companion                          1.1.3                                 npm                     
jsbn                                        1.1.0                                 npm                     
jschardet                                   3.1.4                                 npm                     
json                                        10.0.0                                npm                     
json-language-features                      10.0.0                                npm                     
jsonfile                                    6.1.0                                 npm                     
julia                                       10.0.0                                npm                     
katex                                       0.16.22                               npm                     
kerberos                                    2.1.1                                 npm                     
keyboard-configuration                      1.242~deb13u1                         deb                     
latex                                       10.0.0                                npm                     
less                                        10.0.0                                npm                     
libabsl20240722                             20240722.0-4                          deb                     
libacl1                                     2.3.2-2+b1                            deb                     
libaom3                                     3.12.1-1                              deb                     
libapparmor1                                4.1.0-1                               deb                     
libapt-pkg7.0                               3.0.3                                 deb                     
libasound2-data                             1.2.14-1                              deb                     
libasound2-plugins                          1.2.12-2+b1                           deb                     
libasound2t64                               1.2.14-1                              deb                     
libassuan9                                  3.0.2-2                               deb                     
libasyncns0                                 0.8-6+b5                              deb                     
libatk-bridge2.0-0t64                       2.56.2-1+deb13u1                      deb                     
libatk1.0-0t64                              2.56.2-1+deb13u1                      deb                     
libatomic1                                  14.2.0-19                             deb                     
libatspi2.0-0t64                            2.56.2-1+deb13u1                      deb                     
libattr1                                    1:2.5.2-3                             deb                     
libaudit-common                             1:4.0.2-2                             deb                     
libaudit1                                   1:4.0.2-2+b2                          deb                     
libavahi-client3                            0.8-16                                deb                     
libavahi-common-data                        0.8-16                                deb                     
libavahi-common3                            0.8-16                                deb                     
libavcodec61                                7:7.1.3-0+deb13u1                     deb                     
libavutil59                                 7:7.1.3-0+deb13u1                     deb                     
libblkid1                                   2.41-5                                deb                     
libbrotli1                                  1.1.0-2+b7                            deb                     
libbsd0                                     0.12.2-2                              deb                     
libbz2-1.0                                  1.0.8-6                               deb                     
libc-bin                                    2.41-12+deb13u2                       deb                     
libc-l10n                                   2.41-12+deb13u2                       deb                     
libc6                                       2.41-12+deb13u2                       deb                     
libcairo-gobject2                           1.18.4-1+b1                           deb                     
libcairo2                                   1.18.4-1+b1                           deb                     
libcap-ng0                                  0.8.5-4+b1                            deb                     
libcap2                                     1:2.75-10+b8                          deb                     
libcap2-bin                                 1:2.75-10+b8                          deb                     
libcbor0.10                                 0.10.2-2                              deb                     
libcloudproviders0                          0.3.6-2                               deb                     
libcodec2-1.2                               1.2.0-3                               deb                     
libcolord2                                  1.4.7-3                               deb                     
libcom-err2                                 1.47.2-3+b10                          deb                     
libcrypt1                                   1:4.4.38-1                            deb                     
libcups2t64                                 2.4.10-3+deb13u2                      deb                     
libcurl3t64-gnutls                          8.14.1-2+deb13u2                      deb                     
libcurl4t64                                 8.14.1-2+deb13u2                      deb                     
libdatrie1                                  0.2.13-3+b1                           deb                     
libdav1d7                                   1.5.1-1                               deb                     
libdb5.3t64                                 5.3.28+dfsg2-9                        deb                     
libdbus-1-3                                 1.16.2-2                              deb                     
libdconf1                                   0.40.0-5                              deb                     
libdebconfclient0                           0.280                                 deb                     
libdeflate0                                 1.23-2                                deb                     
libdrm-amdgpu1                              2.4.124-2                             deb                     
libdrm-common                               2.4.124-2                             deb                     
libdrm-intel1                               2.4.124-2                             deb                     
libdrm-radeon1                              2.4.124-2                             deb                     
libdrm2                                     2.4.124-2                             deb                     
libedit2                                    3.1-20250104-1                        deb                     
libegl-mesa0                                25.0.7-2                              deb                     
libegl1                                     1.7.0-1+b2                            deb                     
libelf1t64                                  0.192-4                               deb                     
libepoxy0                                   1.5.10-2                              deb                     
liberror-perl                               0.17030-1                             deb                     
libexpat1                                   2.7.1-2                               deb                     
libffi8                                     3.4.8-2                               deb                     
libfftw3-single3                            3.3.10-2+b1                           deb                     
libfido2-1                                  1.15.0-1+b1                           deb                     
libflac14                                   1.5.0+ds-2                            deb                     
libfontconfig1                              2.15.0-2.3                            deb                     
libfontenc1                                 1:1.1.8-1+b2                          deb                     
libfreetype6                                2.13.3+dfsg-1+deb13u1                 deb                     
libfribidi0                                 1.0.16-1                              deb                     
libgbm1                                     25.0.7-2                              deb                     
libgcc-s1                                   14.2.0-19                             deb                     
libgcrypt20                                 1.11.0-7                              deb                     
libgdbm-compat4t64                          1.24-2                                deb                     
libgdbm6t64                                 1.24-2                                deb                     
libgdk-pixbuf-2.0-0                         2.42.12+dfsg-4+deb13u1                deb                     
libgdk-pixbuf2.0-common                     2.42.12+dfsg-4+deb13u1                deb                     
libgl1                                      1.7.0-1+b2                            deb                     
libgl1-mesa-dri                             25.0.7-2                              deb                     
libglib2.0-0t64                             2.84.4-3~deb13u2                      deb                     
