NAME                                    VERSION                         TYPE                  
@microsoft/1ds-core-js                  3.2.13                          npm                    
@microsoft/1ds-post-js                  3.2.13                          npm                    
@microsoft/applicationinsights-core-js  2.8.15                          npm                    
@microsoft/applicationinsights-shims    2.0.2                           npm                    
@microsoft/dynamicproto-js              1.1.9                           npm                    
@parcel/watcher                         2.5.1                           npm                    
@tootallnate/once                       3.0.0                           npm                    
@types/semver                           7.5.8                           npm                    
@vscode/deviceid                        0.1.1                           npm                    
@vscode/iconv-lite-umd                  0.7.0                           npm                    
@vscode/proxy-agent                     0.32.0                          npm                    
@vscode/ripgrep                         1.15.14                         npm                    
@vscode/spdlog                          0.15.2                          npm                    
@vscode/sqlite3                         5.1.8-vscode                    npm                    
@vscode/sudo-prompt                     9.3.1                           npm                    
@vscode/tree-sitter-wasm                0.1.4                           npm                    
@vscode/vscode-languagedetection        1.0.21                          npm                    
@vscodium/policy-watcher                1.3.2-252465                    npm                    
@xterm/addon-clipboard                  0.2.0-beta.95                   npm                    
@xterm/addon-image                      0.9.0-beta.112                  npm                    
@xterm/addon-ligatures                  0.10.0-beta.112                 npm                    
@xterm/addon-progress                   0.2.0-beta.18                   npm                    
@xterm/addon-search                     0.16.0-beta.112                 npm                    
@xterm/addon-serialize                  0.14.0-beta.112                 npm                    
@xterm/addon-unicode11                  0.9.0-beta.112                  npm                    
@xterm/addon-webgl                      0.19.0-beta.112                 npm                    
@xterm/headless                         5.6.0-beta.112                  npm                    
@xterm/xterm                            5.6.0-beta.112                  npm                    
VSCodium                                1.103.05312                     npm                    
adduser                                 3.134                           deb                    
adwaita-icon-theme                      43-1                            deb                    
agent-base                              7.1.1                           npm                    
apt                                     2.6.1                           deb                    
at-spi2-common                          2.46.0-5                        deb                    
base-files                              12.4+deb12u11                   deb                    
base-passwd                             3.6.1                           deb                    
base64-js                               1.5.1                           npm                    
bash                                    5.2.15-2+b8                     deb                    
bat                                     1.0.0                           npm                    
bindings                                1.5.0                           npm                    
bl                                      4.1.0                           npm                    
braces                                  3.0.3                           npm                    
bsdutils                                1:2.38.1-5+deb12u3              deb                    
buffer                                  5.7.1                           npm                    
buffer-crc32                            0.2.13                          npm                    
builtin-notebook-renderers              1.0.0                           npm                    
bundle-name                             4.1.0                           npm                    
ca-certificates                         20230311+deb12u1                deb                    
chownr                                  2.0.0                           npm                    
chrome-remote-interface                 0.33.0                          npm                    
clojure                                 1.0.0                           npm                    
codium                                  1.103.05312                     deb                    
coffeescript                            1.0.0                           npm                    
commander                               2.11.0                          npm                    
commander                               8.3.0                           npm                    
configuration-editing                   1.0.0                           npm                    
coreutils                               9.1-1                           deb                    
cpp                                     1.0.0                           npm                    
csharp                                  1.0.0                           npm                    
css                                     1.0.0                           npm                    
css-language-features                   1.0.0                           npm                    
curl                                    7.88.1-10+deb12u12              deb                    
dart                                    1.0.0                           npm                    
dash                                    0.5.12-2                        deb                    
dbus-bin                                1.14.10-1~deb12u1               deb                    
dbus-daemon                             1.14.10-1~deb12u1               deb                    
dbus-session-bus-common                 1.14.10-1~deb12u1               deb                    
dbus-x11                                1.14.10-1~deb12u1               deb                    
dconf-gsettings-backend                 0.40.0-4                        deb                    
dconf-service                           0.40.0-4                        deb                    
debconf                                 1.5.82                          deb                    
debian-archive-keyring                  2023.3+deb12u2                  deb                    
debianutils                             5.7-0.5~deb12u1                 deb                    
debug                                   4.4.0                           npm                    
debug-auto-launch                       1.0.0                           npm                    
debug-server-ready                      1.0.0                           npm                    
decompress-response                     6.0.0                           npm                    
